https://item.jd.com/25531193076.html
img11.360buyimg.com/n1/s450x450_jfs/t1/90859/38/5567/468896/5dee0f24E63d79b78/56ba1f79000fe524.png
荣耀10手机 幻影紫 6G+64GB全网通
1459.00
6993
4819
5663
31
33
品牌	华为（HUAWEI）
产品名称	荣耀10
上市年份	2018年
上市月份	4月
机身颜色	紫色
机身长度（mm）	149.6
机身重量（g）	153
机身材质工艺	卡托：金属 后盖：玻璃 边框：金属
机身宽度（mm）	71.2
机身材质分类	其他
机身厚度（mm）	7.7
输入方式	触控
CPU型号	其他
CPU品牌	海思（Hisilicon）
运行内存	6GB
机身存储	64GB
存储卡	其它存储卡
最大存储扩展容量	256GB
分辨率	2280x1080
屏幕比例	其它屏幕比例
主屏幕尺寸（英寸）	5.84英寸
屏幕材质类型	IPS
副屏幕尺寸(英寸）	其他
屏幕评级或标准	其它
触摸屏实现方式	其他
色彩饱和度	其它
对比度	其它
亮度	其它
裸眼3D显示	不支持裸眼3D
屏幕色彩	其他
屏幕补充说明	其它
副屏幕其他参数	其它
触摸屏类型	其他
功能备注	AI摄影、乐趣AR
后摄5摄像头功能	其他
后摄3摄像素	其它
后摄2摄像头的功能	其他
后摄2摄像素	其他
后摄主摄光圈	f/1.8
后摄4摄像头的功能	其他
后摄4摄像素	不支持后摄4
闪光灯	其他闪光灯
后摄3摄像头的功能	其他
后摄3摄光学防抖	不支持光学防抖
后摄的主摄像素	2400万像素
后摄3摄光圈	无光圈
后摄6摄像头功能	其他
拍照特点	美颜；HDR
后摄4摄光圈	不支持后摄4
后摄4摄光学防抖	不支持光学防抖
功能备注	其它
前摄3摄像头的功能	其它
前摄主摄光圈	f/1.8
前摄的主摄像素	2400万像素
拍照特点	其他
闪光灯	其他
前摄2摄像头的功能	其它
前摄主传感器型号	其它
充电器	5V/4.5A
电池容量（mAh）	3400mAh
操作系统	Android(安卓)
操作系统版本	其它
4G+（CA）	其他
功能备注	其它
副卡网络频率	和主卡不同，其它
双卡机类型	双卡双待单通
高清语音通话（VOLTE）	不支持VOLTE
其他	其它
副SIM卡3G/2G网络	不支持主副卡同时使用电信卡
网络模式(5G)	非独立组网
网络频率(4G)FDD	FDD 其它
最大支持SIM卡数量	2个
网络频率（2G/3G）	2G：GSM 850/900/1800/1900；3G：TD-SCDMA 1900/2000；3G：WCDMA 850/900/1900/2100
5G网络	不支持5G
网络频率(5G)	以官网信息为准
3G/2G网络	3G TD-SCDMA(移动)；3G WCDMA(联通)；3G CDMA2000(电信)；2G GSM(移动/联通)；2G CDMA(电信)
4G LTE网络特性	其它
网络频率(4G)TDD	以官网信息为准
数据业务	其它
功能备注	其它
其他接口特点	其它
WLAN特点	其它
数据传输接口	其他
耳机接口类型	3.5mm
数据线	USB2.0
充电接口类型	Type-C
GPS	其它
蓝牙特点	其它
NFC/NFC模式	支持（点对点模式）；支持（读卡器模式）；支持（卡模式）
三防标准	不支持防水
生物识别	其它
传感器	距离感应
视频特性	其它
听筒扬声器	听筒不作为扬声器使用
独立Hi-Fi芯片	其他
mic数量	其他
视频录制分辨率	其它
视频录制帧率（fps）	其它
视频录制格式	其它
无线视频传输	其它
喇叭数量	其他
音乐特性	其它
Hi-Fi芯片型号	其它
常用功能	便签
***
使用心得：屏幕还好吧，也不是太懂专业的东西，反正看着还可以，没发现传说中的斜纹；拍照也不怎么拍，还可以，就是自拍没有九宫格辅助线；查了下，是正品；超级快充速度真的很快，22.5瓦确实不一般；性能的话就不用说了，流畅杠杠的；金属机身，但是红色版是钻雕工艺的，摸起来有点怪怪的，也还可以；主要是买的时候是看中这个价钱了，毕竟比发售的时候便宜不少了。总体来说很满意，赠品就没什么要求了，本来就是买的手机，送的耳机钢化膜啥的就没在意过。好评(o^^o)

使用心得：用了一个星期才来评价，华为手机真的挺好用的，功能强大，拍照技术越来越棒，之前用苹果6,一直在犹豫买苹果还是国产，用了一段时间感觉国产机也是越来越强大了，真心好评

使用心得：第二天就到了，京东物流就是快?！手机评测了是正品，速度很快，华为荣耀V10值得拥有！

使用心得：手机很好，也很漂亮。千元的价位拥有这个配置是很值得的。只是这个卡托感觉是塑料的，我这个粗手粗脚的人总害怕它会坏。

使用心得：送的膜太差，全是白边！！还好其他小礼物很满意！红色磨砂手感比蓝色光滑的舒服，手感更好！系统很流畅，更新到9了。YOYO很好用！

使用心得：手机收到了，物流发的京东，速度非常快！卖家也非常有耐心的解答问题，红色手机是真的漂亮，还赠了好多礼品，光鲜亮丽！！！非常喜欢，运行也很流畅。

使用心得：手机很好，下单的魅力红，花了1799大洋。用以来很流畅，比以前买的小米感觉好多了。

使用心得：华为荣耀V10，性能外观各方面都很优秀，另外感谢店家免费赠送的耳机和保护壳，很满意的一次购物

使用心得：手机应该还不错，还没用，但我一直用的华为机子，我自己的也在京东买的，比实体店里的好

使用心得：手机完美，给老婆买的，老婆很喜欢，运行速度很快，送了移动电源，壳和膜很实用，这次购物满意百分百。

