https://item.jd.com/43987829347.html
img12.360buyimg.com/n1/jfs/t1/84889/28/7181/92142/5df891d3E376ba036/b308e4d8ed7fa87a.jpg
徕卡（Leica）Q2全画幅数码相机 莱卡Q2自动对焦便携照相机 防水溅防尘 黑色 标配+原厂UV +64G卡+屏幕贴
44000.00
14
10
4
0
0
场景模式	肖像；风景；微距；运动；日落；夜景肖像；夜景；手持夜景；抗运动模糊
机身闪光灯	不支持
外接闪光灯	支持
蓝牙传输	支持
NFC	不支持
WiFi连接	支持
HDMI接口	不支持
全景拍摄	支持
延时拍摄	支持
机身防抖	支持
遥控功能	支持
手柄	支持
快门线	不支持
连拍速度	10张/秒
品牌	徕卡 Leica
语言	中文；英文；日文
用途	拍照
机身重量（g）	718
画幅	全画幅
套装	单头套机
型号	Q2
商品产地	德国
机身除尘	支持
高清摄像	4K超高清
机身马达	支持
商品毛重（kg）	2
机身材质	镁合金
尺寸(mm)	130*80*92
类型	照相机
液晶屏类型	触摸屏
取景器类型	电子取景器
液晶屏像素	其他
液晶屏尺寸	3.0英寸
存储介质	SD卡；SDHC卡；SDXC卡
机身内存	0
等效焦距	28mm
遮光罩	有遮光罩
焦距范围	28mm
最大光圈	其他
滤镜直径	49mm
最近对焦距离	0.17m
电池类型	可充电锂离子电池
外接电源	不支持
电池续航时间	约500张以下
电池型号	BP-SCL4
***
使用心得：已经有一台sl，两个镜头都太重了，特别是90-280的头子，非摄影的行程携带不方便。下图sl和q2的比较，大小自己看。一直在君峰买徕卡，q2真是太难买了，是刷新无数遍君峰才有机会的。感谢君峰在得知本人的国庆行程后，特别为我提早发货，让我在出发之前就收到美美的相机，开心！关于这两只的使用感悟，本人没有时间长篇大论。q2的裁剪技术已用过，还是用28好。

使用心得：非常的精致，也很有份量，还没熟悉使用，得再研究

