https://item.jd.com/52281100983.html
img13.360buyimg.com/n1/jfs/t1/64260/20/13293/251478/5da96e0eE40328e9f/f6c0bd9126b0e9ca.jpg
联想ThinkPad X1 yoga 2019 新品上市 14英寸IBM翻转触控商务便携笔记本电脑 06CD@i5-8265U 8G 512G 2K 超高清屏 360°翻转触摸 内置手写笔
10999.00
6
3
3
0
0
系列	ThinkPad - X系列
型号	X1 YOGA
平台	Intel
操作系统	Windows 10 家庭版
内置麦克风	内置麦克风
键盘	背光键盘；防泼溅键盘
触摸板	其它
屏幕类型	LED背光
显示比例	宽屏16：9
显示芯片	Intel UHD Graphics 620
显示端口	HDMI接口；Thunderbolt（雷电）
音频端口	耳机、麦克风二合一接口
USB3.0	2个
插槽数量	其它
内存说明	板载内存
CPU型号	i5-8265U
CPU类型	第八代智能英特尔酷睿i5处理器
核心	四核
硬盘容量	其他
局域网	不支持
蓝牙	内置蓝牙
无线局域网	有
续航时间	5-8小时
电池	内置锂离子电池
电源适配器	100-240V自适应交流电源适配器
净重	<1.5kg
机身材质	金属材质
网络摄像头	有摄像头
指纹识别	支持指纹识别
摄像头像素	720p
摄像头类型	HD高清
***
使用心得：电脑很轻薄，适合移动办公感觉触摸屏特别方便，符合我最初的要求，嗯，一开始想买surface Pro6，后来看了Thinkpad新出的这一款然后也不错，就买了这一款，希望以后不会卡。想吐槽一下windows10系统。万万没想到，windows的系统，也需要适应。

使用心得：这是第5台thinkpad，一如既往的给力，yoga第一次买，速度够快，设计够人性化，大力推荐

使用心得：不错

