https://product.suning.com/0000000000/11574714749.html
imgservice.suning.cn/uimg1/b2c/image/jkAlpIM5HyL9wVCamlctiA.jpg_800w_800h_4e
vivo X30 双模5G 8GB+128GB 绯云 专业影像旗舰 美颜拍照快充全面屏游戏5G双模全网通手机
3298.00
0
0
0
0
0
0
品牌	vivo
型号	X30
上市时间	2019年12月
入网许可证号	02-B220-191427
手机操作系统	Android
系统版本	Android9
摄像头类型	其他
前摄像头	3200万像素
后摄像头	主摄6400万+人像3200万+广角800万像素
拍照特点	自动对焦,美颜,连拍,全景,滤镜,场景模式,HDR
前摄光圈大小	其他
后摄光圈大小	其他
闪光灯类型	支持
传感器类型	×&nbsp;&nbsp;&nbsp;&nbsp;与传统相机相比，传统相机使用“胶卷”作为其记录信息的载体，而数码相机的“胶卷”就是其成像感光元件，而且是与相机一体的，是数码相机的心脏。感光器是数码相机的核心，也是最关键的技术。目前数码相机的核心成像部件有两种：一种是广泛使用的CCD（电荷藕合）元件；另一种是CMOS（互补金属氧化物导体）器件。CMOS
屏幕尺寸	6.44英寸
屏幕分辨率	其他
屏幕材质	AMOLED
屏幕像素密度（ppi）	409
触摸工艺	On-cell
屏占比	91.4%
颜色	橙色系
机身长度	158.45毫米
机身宽度	74.1毫米
机身厚度	8.8毫米
重量	196.5克
机身材质	其它
CPU品牌	以官方信息为准
CPU型号	SamsungExynos980
CPU频率	2*2.2GHzA77+6*1.8GHzA55
CPU核数	八核
GPU	Mali-G76
5G网络制式	全网通5G
双卡机类型（单卡/双卡）	双卡双待单通
最大支持SIM卡数量	2个
SIM卡尺寸	NanoSIM卡
4G网络制式	移动4G,联通4G,电信4G,全网通
3G网络制式	移动3G,电信3G,联通3G
2G网络制式	电信2G,移动2G,联通2G
网络频率	2GGSM;2GCDMA;3GCDMA2000;3GTD-SCDMA;3GWCDMA;4GTDD-LTE;4GFDD-LTE;4G+TDD-LTE;4G+FDD-LTE
待机模式	双卡双待单通
机身内存	128GB
运行内存	8GB
存储卡类型	不支持
最大存储扩展	不支持
电池容量	4350mAh
无线充电	不支持
快充功能	支持
电池更换	不支持
电池类型	聚合物锂电池
数据传输接口	蓝牙,WIFI
NFC（近场通讯）	支持
耳机接口	3.5mm
充电接口类型	Type-C
蓝牙版本	以官网信息为准
指纹识别	支持
GPS	支持
重力传感器	支持
光线传感器	以官网信息为准
距离传感器	以官网信息为准
陀螺仪	支持
红外遥控	不支持
OTG	×&nbsp;&nbsp;&nbsp;&nbsp;OTG是On-The-Go的缩写，是近年发展起来的技术，主要应用于各种不同的设备或移动设备间的联接，进行数据交换。支持
运营商标识	无
选购热点	超薄机身,女性手机,以旧换新,大屏手机,快速充电,指纹识别,大容量电池,游戏手机,全面屏手机,国产手机
开票单位	台
CCC认证编号	2019011606259037
生产者（制造商）名称	维沃移动通信有限公司
***
