https://product.suning.com/0000000000/11379531109.html
imgservice.suning.cn/uimg1/b2c/image/RhU4LxIpYja_IAhdOewR8A.jpg_800w_800h_4e
小米(MI) Redmi K30 120Hz流速屏索尼6400万后置四摄 前置挖孔双摄 4500mAh超长续航 27W快充 8GB+256GB花影惊鸿 全网通4G手机
2199.00
0
1
0
0
0
0
品牌	小米(mi)
型号	RedmiK30
上市时间	2019年
入网许可证号	02-B324-193932
手机操作系统	Android
系统版本	MIUI
摄像头类型	前双+后四
前摄像头	2000+200万像素
后摄像头	6400+800+200+200万像素
拍照特点	自动对焦,防抖,美颜,连拍,微距,全景,滤镜,场景模式,HDR
前摄光圈大小	其他
后摄光圈大小	其他
闪光灯类型	LED
变焦模式	数码变焦
传感器类型	×&nbsp;&nbsp;&nbsp;&nbsp;与传统相机相比，传统相机使用“胶卷”作为其记录信息的载体，而数码相机的“胶卷”就是其成像感光元件，而且是与相机一体的，是数码相机的心脏。感光器是数码相机的核心，也是最关键的技术。目前数码相机的核心成像部件有两种：一种是广泛使用的CCD（电荷藕合）元件；另一种是CMOS（互补金属氧化物导体）器件。CMOS
屏幕尺寸	6.67英寸
屏幕分辨率	2400*1080
屏幕材质	其他
触摸工艺	其他
颜色	红色
机身长度	165.3毫米
机身宽度	76.6毫米
机身厚度	8.79毫米
重量	208克
机身材质	其它
CPU品牌	骁龙（Snapdragon)
CPU型号	730G
CPU频率	2.2GHz
GPU	Adreno618
双卡机类型（单卡/双卡）	双卡双待
最大支持SIM卡数量	2个
SIM卡尺寸	NanoSIM卡
4G网络制式	移动4G,联通4G,电信4G
3G网络制式	移动3G,电信3G,联通3G
2G网络制式	电信2G,移动2G,联通2G
待机模式	双卡双待
副SIM卡尺寸	NanoSIM卡
副SIM卡4G网络制式	移动4G,联通4G,电信4G
副SIM卡3G网络制式	移动3G,电信3G,联通3G
副SIM卡2G网络制式	电信2G,移动2G,联通2G
机身内存	256GB
运行内存	8GB
电池容量	4500mAh
快充功能	支持
电池类型	聚合物锂电池
数据传输接口	NFC,蓝牙,WIFI
NFC（近场通讯）	支持
耳机接口	3.5mm
充电接口类型	Type-C
蓝牙版本	蓝牙5.0
指纹识别	支持
GPS	支持
光线传感器	以官网信息为准
陀螺仪	支持
红外遥控	支持
电子罗盘	支持
运营商标识	无
选购热点	超薄机身,女性手机,支持NFC,大屏手机,快速充电,指纹识别,骁龙芯片,大容量电池,拍照手机,游戏手机,全面屏手机
CCC认证编号	2019011606247708
生产者（制造商）名称	小米通讯技术有限公司
***
一收到就迫不及待带来了，小米的忠实粉丝，一直都是用的小米手机，性能好，性价比高，希望能越来越好

