https://product.suning.com/0000000000/11511266413.html
imgservice.suning.cn/uimg1/b2c/image/YHHmqzwu-Dcy7V5AvK7SMQ.jpg_800w_800h_4e
2019新品 Apple MacBook Pro 16英寸 i7处理器 2.6GHz 16GB 512GB SSD 银色 笔记本电脑 设计本 带触控栏 MVVL2CH/A
18408.00
0
1
0
0
0
0
品牌	Apple
系列	MacBookPro
型号	MVVL2CH/A
上市时间	2019年11月
产品定位	家庭办公,影音娱乐,游戏高端,学生用机,轻薄便携
操作系统	macOS
CPU平台	Intel
CPU型号	i7
CPU主频	×&nbsp;&nbsp;&nbsp;&nbsp;CPU的主频，即CPU内核工作的时钟频率（CPUClockSpeed）。原则上同系列CPU主频越高的运算速度就越快，性能越好。2.6GHz
核心数	×&nbsp;&nbsp;&nbsp;&nbsp;核心数量是CPU系列术语，指单个CPU集成多个处理器内核，优点是在不太大增加功耗的同时下可有有效提升CPU性能。目前平板电脑CPU的核心数量主要有双核、四核、六核、八核等。六核心
内存容量	×&nbsp;&nbsp;&nbsp;&nbsp;内存容量通常是指随机存储器（RAM)的容量，是内存条的关键性参数，内存容量越大越有利于系统的运行。16GB
内存类型	×&nbsp;&nbsp;&nbsp;&nbsp;内存作用是用于暂时存放CPU中的运算数据，以及与硬盘等外部存储器交换的数据，内存的运行也决定了计算机的稳定运行。DDR4
插槽数量	无
最大支持内存	32GB
硬盘容量	512GB
硬盘类型	固态硬盘
显卡类型	×&nbsp;&nbsp;&nbsp;&nbsp;显存容量决定着显存临时存储数据的多少。独立显卡
显存容量	4GB
显卡型号	AMDRadeonPro5300M
光驱类型	无光驱
屏幕尺寸	16.0英寸
屏幕类型	×&nbsp;&nbsp;&nbsp;&nbsp;电脑显示屏主要分为LED显示屏和液晶显示屏(LCD)两大类，其中液晶显示屏已经基本淘汰，现阶段电脑显示屏基本都属LED显示屏。LCD
屏幕比例	16:10
屏幕分辨率	3072×1920
触摸功能	×&nbsp;&nbsp;&nbsp;&nbsp;触摸功能指的是通过手指在屏幕上直接操作的功能。不支持
摄像头	支持
内置麦克风	支持
触控	非触控
蓝牙功能	蓝牙5.0
局域网	10/100/1000Mbps
无线局域网	802.11ac
USB3.0端口	0个
USB2.0端口	0个
视频端口	HDMI,DisplayPort
音频端口	耳机/麦克风二合一接口
指取设备	触摸板
读卡器类型	无
电池	锂离子电池
电源适配器	96WUSB-C电源适配器
续航时间	9小时以上
颜色	黑色
厚度	mm
机身材质	铝合金
机身尺寸	约357.9*245.9*16.2毫米
净重	16.2千克
厂商保修政策	符合国家三包
选购热点	女生最爱,高清屏幕,金属机身,超薄机身
CCC认证编号	2015010902759212
生产者（制造商）名称	达功（上海）电脑有限公司
***
此用户没有填写评价内容

