https://product.suning.com/0000000000/11577341501.html
imgservice.suning.cn/uimg1/b2c/image/zxWISB14CgKh6hR7sAIIfQ.jpg_800w_800h_4e
小米（MI）RedmiBook13全面屏超轻薄本(全新十代酷睿i7-10510U 8G 512G SSD MX250 2G独显 )笔记本电脑 支持手环疾速解锁 游戏 超长续航 银
5199.00
0
0
0
0
0
0
品牌	小米(mi)
系列	RedmiBook13全面屏
型号	第十代智能英特尔®酷睿™i7处理器
上市时间	2019.12.10
产品定位	家庭办公,学生用机,性价比机,轻薄便携
操作系统	Windows10
CPU平台	Intel
CPU型号	i7-10510U
CPU主频	×&nbsp;&nbsp;&nbsp;&nbsp;CPU的主频，即CPU内核工作的时钟频率（CPUClockSpeed）。原则上同系列CPU主频越高的运算速度就越快，性能越好。1.8GHz
核心数	×&nbsp;&nbsp;&nbsp;&nbsp;核心数量是CPU系列术语，指单个CPU集成多个处理器内核，优点是在不太大增加功耗的同时下可有有效提升CPU性能。目前平板电脑CPU的核心数量主要有双核、四核、六核、八核等。四核心
内存容量	×&nbsp;&nbsp;&nbsp;&nbsp;内存容量通常是指随机存储器（RAM)的容量，是内存条的关键性参数，内存容量越大越有利于系统的运行。8GB
内存类型	×&nbsp;&nbsp;&nbsp;&nbsp;内存作用是用于暂时存放CPU中的运算数据，以及与硬盘等外部存储器交换的数据，内存的运行也决定了计算机的稳定运行。DDR4
插槽数量	无
最大支持内存	8GB
硬盘容量	512GB
硬盘类型	固态硬盘
显卡类型	×&nbsp;&nbsp;&nbsp;&nbsp;显存容量决定着显存临时存储数据的多少。独立显卡
显存容量	2GB
显卡型号	GeForceMX250
光驱类型	无光驱
屏幕尺寸	13英寸
屏幕类型	×&nbsp;&nbsp;&nbsp;&nbsp;电脑显示屏主要分为LED显示屏和液晶显示屏(LCD)两大类，其中液晶显示屏已经基本淘汰，现阶段电脑显示屏基本都属LED显示屏。IPS
屏幕比例	16:9
屏幕分辨率	1920×1080
触摸功能	×&nbsp;&nbsp;&nbsp;&nbsp;触摸功能指的是通过手指在屏幕上直接操作的功能。不支持
摄像头	不支持
触控	非触控
蓝牙功能	蓝牙5.0
局域网	无
无线局域网	802.11ac
USB3.1端口	2个个
USB3.0端口	0个
视频端口	HDMI
音频端口	耳机/麦克风二合一接口
电池	锂离子电池
电源适配器	65W电源适配器
续航时间	9小时以上
颜色	银色系
厚度	17.8mm
机身材质	金属
机身尺寸	307.3mm×195.0mm×17.8mm毫米
净重	1.23千克
随机附件	其他
厂商保修政策	整机保修1年，主要零部件2年
选购热点	高清屏幕,金属机身,完美音质,超薄机身,超长待机
CCC认证编号	2019010902236691
生产者（制造商）名称	达丰（重庆）电脑有限公司
***
