https://product.suning.com/0000000000/10679340554.html
imgservice.suning.cn/uimg1/b2c/image/iVgk2roiLfgMtinD3qsLVg.jpg_800w_800h_4e
华为/荣耀(honor)8A 3GB+64GB 极光蓝 移动联通电信4G全网通 6.09英寸珍珠全面屏 震撼大音量 全面屏智能手机
999.00
3270
3457
5
1
0
1
品牌	荣耀(honor)
型号	畅玩8A
上市时间	2019年11月
入网许可证号	02-5043-183915
手机操作系统	Android
系统版本	Android9
摄像头类型	前单+后双
前摄像头	800万像素
后摄像头	1300万像素
拍照特点	场景模式,美颜,连拍,自动对焦,HDR
前摄光圈大小	f/2.0光圈
后摄光圈大小	f/1.8光圈
闪光灯类型	支持
变焦模式	数码变焦
传感器类型	其他
屏幕尺寸	6.088英寸
屏幕分辨率	其他
屏幕材质	其他
屏幕像素密度（ppi）	283
触摸工艺	其他
颜色	蓝色
机身长度	156.28毫米
机身宽度	73.5毫米
机身厚度	8.0毫米
重量	160克
机身材质	其它
CPU品牌	联发科（MTK）
CPU型号	MediatekMT6765（联发科HelioP35）
CPU频率	4×CortexA532.3GHz+4×CortexA531.8GHz
CPU核数	八核
GPU	以官网信息为准
5G网络制式	不支持
双卡机类型	双卡双待单通
最大支持SIM卡数量	2个
SIM卡尺寸	NanoSIM卡
4G网络制式	联通4G,移动4G,全网通,双卡单4G,电信4G
3G网络制式	联通3G,电信3G,移动3G
2G网络制式	联通2G,移动2G,移动2G/联通2G,电信2G
网络频率	以官网信息为准
待机模式	双卡双待单通
副SIM卡尺寸	NanoSIM卡
副SIM卡4G网络制式	电信4G,联通4G,移动4G
副SIM卡3G网络制式	移动3G,电信3G,联通3G
副SIM卡2G网络制式	电信2G,移动2G/联通2G,移动2G,联通2G
是否支持同时使用联通卡	以官网信息为准
机身内存	64GB
运行内存	3GB
存储卡类型	支持
最大存储扩展	512GB
电池容量	3020mAh
无线充电	不支持
快充功能	不支持
电池更换	不支持
理论待机时间	24小时
电池类型	聚合物锂电池
理论通话时间	150分钟
数据传输接口	WIFI,蓝牙
NFC（近场通讯）	不支持
耳机接口	3.5mm
充电接口类型	MicroUSB
蓝牙版本	蓝牙4.2
指纹识别	不支持
GPS	支持
重力传感器	支持
光线传感器	以官网信息为准
距离传感器	以官网信息为准
陀螺仪	不支持
红外遥控	不支持
电子罗盘	支持
3D加速	不支持
OTG	不支持
运营商标识	无
选购热点	国产手机,大屏手机,超薄机身
开票单位	台
CCC认证编号	2018011606129285
生产者（制造商）名称	贵州富智康精密电子有限公司
***
声音大

这款华为荣耀畅玩8a手机比较不错，性能可靠，系统流畅，做工精细，外观精美，使用非常满意。

买给老人家用用还是很不错的，便宜又实惠

手感很不错，价格实惠，下次还会再来，

#做工精致，系统流畅，声音大，分辨率高#

可以，不错，希望用几个月后不卡

这款手机，做工精致，时尚大气，轻薄方便，非常适用，非常喜欢。

挺不错，买给儿子用，做英语作业，不过他也挺喜欢玩游戏，看***

此用户没有填写评价内容

#性价比高 ，待机时间长，系统流畅，信号稳定#

