https://product.suning.com/0000000000/11322283320.html
imgservice.suning.cn/uimg1/b2c/image/pNZOXWc8Hs93u72sOg4Vuw.jpg_800w_800h_4e
vivo NEX 3 液态天河 8+128G 无界瀑布屏 高通骁龙855Plus 6400万三摄 智慧旗舰新品手机 4G全网通手机
4498.00
72
90
0
0
0
0
品牌	vivo
型号	NEX3
上市时间	2019年9月
入网许可证号	02-B220-192502
手机操作系统	Android
系统版本	Android9
摄像头类型	其他
前摄像头	1600万像素
后摄像头	主摄6400万+后置广角1300万+后置tele1300万像素
拍照特点	自动对焦,美颜,连拍,全景,滤镜,场景模式,HDR
前摄光圈大小	其他
后摄光圈大小	其他
闪光灯类型	支持
变焦模式	数码变焦
传感器类型	CMOS
屏幕尺寸	6.89英寸
屏幕分辨率	其他
屏幕材质	AMOLED
屏幕像素密度（ppi）	402
触摸工艺	其他
屏占比	99.6%
颜色	白色系
机身长度	167.44毫米
机身宽度	76.14毫米
机身厚度	9.4毫米
重量	217克
机身材质	金属边框
CPU品牌	骁龙（Snapdragon)
CPU型号	高通骁龙855Plus
CPU频率	2.96GHz
CPU核数	八核
GPU	Adreno640
5G网络制式	不支持
双卡机类型	双卡双待单通
最大支持SIM卡数量	2个
SIM卡尺寸	NanoSIM卡
4G网络制式	全网通,电信4G,联通4G,移动4G
3G网络制式	联通3G,电信3G,移动3G
2G网络制式	联通2G,移动2G,电信2G
网络频率	以官网信息为准
待机模式	双卡双待单通
副SIM卡尺寸	NanoSIM卡
副SIM卡4G网络制式	电信4G,联通4G,移动4G
副SIM卡3G网络制式	联通3G,电信3G,移动3G
副SIM卡2G网络制式	移动2G,电信2G,联通2G
是否支持同时使用联通卡	是
机身内存	128GB
运行内存	8GB
存储卡类型	不支持
最大存储扩展	不支持
电池容量	4500mAh
无线充电	不支持
快充功能	支持
电池更换	不支持
电池类型	聚合物锂电池
数据传输接口	WIFI,蓝牙
NFC（近场通讯）	以官网信息为准
耳机接口	3.5mm
充电接口类型	Type-C
蓝牙版本	蓝牙5.0
指纹识别	支持
GPS	支持
重力传感器	支持
光线传感器	支持
距离传感器	支持
陀螺仪	支持
红外遥控	不支持
OTG	支持
运营商标识	无
选购热点	国产手机,全面屏手机,游戏手机,大容量电池,指纹识别,快速充电,大屏手机,以旧换新,女性手机,超薄机身
开票单位	台
CCC认证编号	2019011606220438
生产者（制造商）名称	维沃移动通信有限公司
***
