https://product.suning.com/0070073461/11351895540.html
imgservice.suning.cn/uimg1/b2c/image/EkVLC6cGSWBB43cHcjncRg.jpg_800w_800h_4e
小米 (MI) 红米Redmi Note8 4800万超清四摄 高通骁龙665 4GB+64GB 曜石黑 移动联通电信4G手机
968.00
0
0
0
0
0
0
品牌	小米(mi)
型号	RedmiNote8
上市时间	2019年
入网许可证号	02-B324-191424
手机操作系统	Android
系统版本	MIUI
摄像头类型	其他
前摄像头	1300万像素
后摄像头	4800+800+200+200万像素
拍照特点	微距,防抖,美颜,自动对焦,HDR,全景
前摄光圈大小	f/2.0光圈
后摄光圈大小	其他
闪光灯类型	LED
变焦模式	数码变焦
传感器类型	CMOS
屏幕尺寸	6.3英寸
屏幕分辨率	2340*1080
屏幕材质	其他
屏幕像素密度（ppi）	以官网信息为准
触摸工艺	其他
屏占比	90%
颜色	黑色系
机身长度	158.3毫米
机身宽度	75.3毫米
机身厚度	8.35毫米
重量	190克
机身材质	其它
CPU品牌	骁龙（Snapdragon)
CPU型号	骁龙665
CPU频率	以官网信息为准
CPU核数	八核
GPU	以官网信息为准
5G网络制式	不支持
双卡机类型	双卡双待单通
最大支持SIM卡数量	2个
SIM卡尺寸	NanoSIM卡
4G网络制式	移动4G,电信4G,全网通,双卡单4G,联通4G
3G网络制式	移动3G,联通3G,电信3G
2G网络制式	移动2G,电信2G,移动2G/联通2G,联通2G
网络频率	以官网信息为准
待机模式	双卡双待单通
副SIM卡尺寸	NanoSIM卡
副SIM卡4G网络制式	联通4G,电信4G,移动4G
副SIM卡3G网络制式	电信3G,移动3G,联通3G
副SIM卡2G网络制式	移动2G/联通2G,移动2G,联通2G,电信2G
是否支持同时使用联通卡	以官网信息为准
机身内存	64GB
运行内存	4GB
存储卡类型	支持
最大存储扩展	256GB
电池容量	4000mAh
无线充电	不支持
快充功能	支持
电池更换	不支持
理论待机时间	24小时
电池类型	聚合物锂电池
理论通话时间	150分钟
数据传输接口	WIFI,蓝牙
NFC（近场通讯）	不支持
耳机接口	3.5mm
充电接口类型	Type-C
蓝牙版本	蓝牙4.2
指纹识别	支持
GPS	支持
重力传感器	支持
光线传感器	以官网信息为准
距离传感器	以官网信息为准
陀螺仪	支持
红外遥控	不支持
电子罗盘	支持
3D加速	不支持
OTG	不支持
运营商标识	无
选购热点	双卡双待,国产手机,大屏手机,大容量电池,骁龙芯片,超薄机身
开票单位	台
CCC认证编号	2019011606219192
生产者（制造商）名称	小米通讯技术有限公司
***
