https://product.suning.com/0070083734/10583679129.html
imgservice.suning.cn/uimg1/b2c/image/Vdm7LzB3B_LargiXKqxFqg==.jpg_800w_800h_4e
【送耳机+指环支架+手机原装壳】 中兴 ZTE V9 全面屏手机 极光蓝 4GB+32GB 移动联通电信4G手机 双卡双待
682.00
2
3
0
0
0
0
品牌	中兴(ZTE)
上市时间	2018.08
手机操作系统	Android
系统版本	安卓
摄像头类型	前单+后双
后摄像头	1600万像素
拍照特点	美颜,滤镜
闪光灯类型	LED
变焦模式	数码变焦
屏幕尺寸	5.7英寸
屏幕分辨率	2160×1080
屏幕材质	IPS
颜色	蓝色
机身长度	7.5毫米
机身宽度	70毫米
机身厚度	151毫米
重量	156克
机身材质	其它
CPU品牌	骁龙（Snapdragon)
CPU型号	骁龙450
CPU核数	八核
GPU	Adreno506
双卡机类型	双卡双待单通
最大支持SIM卡数量	2个
SIM卡尺寸	NanoSIM卡（存储卡共槽位）
4G网络制式	全网通
机身内存	32GB
运行内存	3GB
存储卡类型	支持
最大存储扩展	128GB
电池容量	3100mAh
快充功能	支持
电池更换	不支持
电池类型	锂电池
数据传输接口	蓝牙,WIFI
耳机接口	3.5mm
充电接口类型	MicroUSB
蓝牙版本	蓝牙4.0
指纹识别	支持
GPS	支持
重力传感器	支持
光线传感器	支持
距离传感器	支持
陀螺仪	不支持
OTG	支持
选购热点	后置双摄,双卡双待,指纹识别,骁龙芯片,前置双摄,玻璃机身
CCC认证编号	2017011606011258
生产者（制造商）名称	中兴通讯股份有限公司
***
支持国产！希望国货越做越好！

买家没有填写评价内容！

买家没有填写评价内容！

