https://product.suning.com/0070085643/11421655804.html
imgservice.suning.cn/uimg1/b2c/image/nReDOYXAZ95qo6MTm282xw.jpg_800w_800h_4e
【已降200元 送智能手环+耳机】OPPO A11 OPPO全新正品指纹手机 4G+128G 流云白 4800万四摄拍照视频手机双立体声扬声器美颜夜景自拍智能手机全网通
1299.00
0
0
0
0
0
0
品牌	OPPO
型号	A11
上市时间	2019.10
入网许可证号	02-D124-190529
手机操作系统	Android
摄像头类型	其他
拍照特点	全景,微距,连拍,美颜,自动对焦,场景模式,HDR,滤镜
后摄光圈大小	其他
闪光灯类型	其他
传感器类型	CMOS
屏幕尺寸	6.5英寸
屏幕分辨率	其他
颜色	白色
机身长度	162毫米
机身宽度	76.1毫米
机身厚度	8.3毫米
重量	190克
机身材质	其它
CPU品牌	以官方信息为准
CPU核数	八核
双卡机类型	双卡双待单通
最大支持SIM卡数量	2个
SIM卡尺寸	NanoSIM卡（存储卡共槽位）,NanoSIM卡
4G网络制式	移动4G,双卡单4G,全网通,联通4G,电信4G
3G网络制式	电信3G,联通3G,移动3G
2G网络制式	电信2G,移动2G/联通2G,移动2G,联通2G
待机模式	双卡双待单通
机身内存	128GB
运行内存	4GB
存储卡类型	支持
最大存储扩展	256GB
电池容量	5000mAh
无线充电	不支持
快充功能	不支持
电池更换	不支持
电池类型	聚合物锂电池
数据传输接口	蓝牙,WIFI
耳机接口	以官网信息为准
充电接口类型	MicroUSB
指纹识别	支持
GPS	支持
重力传感器	支持
光线传感器	支持
距离传感器	支持
陀螺仪	不支持
红外遥控	不支持
电子罗盘	支持
OTG	支持
运营商标识	无
选购热点	超薄机身,国产手机,双卡双待,后置双摄,VoLET,全面屏手机,拍照手机,指纹识别,大屏手机,女性手机
CCC认证编号	2018011606052879
生产者（制造商）名称	广东欧珀移动通信有限公司
***
