https://product.suning.com/0070085643/11511174590.html
imgservice.suning.cn/uimg1/b2c/image/wm7KjEk31BodBuRYudt8ug.jpg_800w_800h_4e
【送智能手环+蓝牙音箱】OPPO A11 OPPO全新正品指纹手机 6G+256G 慕辰紫 4800万四摄拍照视频手机双立体声扬声器美颜夜景自拍智能手机全网通
1599.00
0
0
0
0
0
0
品牌	OPPO
型号	A11
上市时间	2019.10
入网许可证号	02-D124-190529
手机操作系统	Android
摄像头类型	其他
拍照特点	自动对焦,美颜,连拍,微距,全景,滤镜,场景模式,HDR
后摄光圈大小	其他
闪光灯类型	其他
传感器类型	×&nbsp;&nbsp;&nbsp;&nbsp;与传统相机相比，传统相机使用“胶卷”作为其记录信息的载体，而数码相机的“胶卷”就是其成像感光元件，而且是与相机一体的，是数码相机的心脏。感光器是数码相机的核心，也是最关键的技术。目前数码相机的核心成像部件有两种：一种是广泛使用的CCD（电荷藕合）元件；另一种是CMOS（互补金属氧化物导体）器件。CMOS
屏幕尺寸	6.5英寸
屏幕分辨率	其他
颜色	紫色
机身长度	162毫米
机身宽度	76.1毫米
机身厚度	8.3毫米
重量	190克
机身材质	其它
CPU品牌	以官方信息为准
CPU核数	八核
双卡机类型（单卡/双卡）	双卡双待单通
最大支持SIM卡数量	2个
SIM卡尺寸	NanoSIM卡,NanoSIM卡（存储卡共槽位）
4G网络制式	移动4G,联通4G,电信4G,双卡单4G,全网通
3G网络制式	移动3G,电信3G,联通3G
2G网络制式	电信2G,移动2G/联通2G,移动2G,联通2G
待机模式	双卡双待单通
机身内存	256GB
运行内存	6GB
存储卡类型	支持
最大存储扩展	256GB
电池容量	5000mAh
无线充电	不支持
快充功能	不支持
电池更换	不支持
电池类型	聚合物锂电池
数据传输接口	蓝牙,WIFI
耳机接口	以官网信息为准
充电接口类型	MicroUSB
指纹识别	支持
GPS	支持
重力传感器	支持
光线传感器	支持
距离传感器	支持
陀螺仪	不支持
红外遥控	不支持
电子罗盘	支持
OTG	×&nbsp;&nbsp;&nbsp;&nbsp;OTG是On-The-Go的缩写，是近年发展起来的技术，主要应用于各种不同的设备或移动设备间的联接，进行数据交换。支持
运营商标识	无
选购热点	超薄机身,女性手机,大屏手机,双卡双待,指纹识别,VoLET,拍照手机,全面屏手机,后置双摄,国产手机
CCC认证编号	2018011606052879
生产者（制造商）名称	广东欧珀移动通信有限公司
***
