https://product.suning.com/0070085643/10674645073.html
imgservice.suning.cn/uimg1/b2c/image/SWZ7VQ5iH6LGnBNxhWpDyg.jpg_800w_800h_4e
【购机送智能手环】OPPO R17 8G+128G 雾光金 水滴屏 光感屏幕指纹解锁 自定义AI美颜 OPPOR17双卡双待全网通手机
2499.00
4
6
0
0
0
0
品牌	OPPO
型号	R17
上市时间	2018.10
手机操作系统	Android
系统版本	其他
摄像头类型	前单+后双
后摄像头	1600+500万像素
拍照特点	场景模式,HDR,美颜,滤镜,全景,连拍,自动对焦
前摄光圈大小	f/2.0光圈
后摄光圈大小	f/1.7光圈
闪光灯类型	支持
传感器类型	CMOS
屏幕尺寸	6.4英寸
屏幕分辨率	其他
屏幕材质	AMOLED
屏幕像素密度（ppi）	402
触摸工艺	On-cell
屏占比	91.5%
颜色	金色
机身长度	157.5毫米
机身宽度	74.9毫米
机身厚度	7.5毫米
重量	182克
机身材质	玻璃
CPU品牌	骁龙（Snapdragon)
CPU型号	高通SDM670
CPU核数	八核
GPU	Adreno615
双卡机类型	双卡双待单通
SIM卡尺寸	NanoSIM卡（存储卡共槽位）
4G网络制式	电信4G,双卡单4G,移动4G,联通4G,全网通
3G网络制式	移动3G,联通3G,电信3G
2G网络制式	移动2G,电信2G,联通2G,移动2G/联通2G
网络频率	其他
待机模式	双卡双待单通
机身内存	128GB
运行内存	8GB
存储卡类型	支持
电池容量	3500mAh
无线充电	不支持
快充功能	支持
电池更换	不支持
理论待机时间	350小时
电池类型	其他
理论通话时间	1800分钟
数据传输接口	WIFI,蓝牙
NFC（近场通讯）	其他
耳机接口	3.5mm
充电接口类型	Type-C
蓝牙版本	蓝牙5.0
指纹识别	支持
GPS	支持
重力传感器	支持
光线传感器	支持
距离传感器	支持
陀螺仪	支持
红外遥控	支持
电子罗盘	支持
OTG	支持
运营商标识	无
选购热点	Type-C,拍照手机,游戏手机,后置双摄,国产手机,双卡双待,全面屏手机,玻璃机身,快速充电,指纹识别,骁龙芯片,大屏手机
CCC认证编号	2018011606052879
生产者（制造商）名称	广东欧珀移动通信有限公司
***
晚上拍照很清晰

喜欢，物流快

买家没有填写评价内容！

买家没有填写评价内容！

买家没有填写评价内容！

买家没有填写评价内容！

