https://product.suning.com/0070085643/11357845073.html
imgservice.suning.cn/uimg1/b2c/image/j_l-RZTBcOmsUo7U2HbriQ.jpg_800w_800h_4e
【送榨汁杯】OPPO Reno 8G+256G 星云紫 全面屏拍照全网通双卡双待手机 4800万超清像素 支持NFC VOOC 3.0
2799.00
4
4
0
0
0
0
品牌	OPPO
型号	Reno
上市时间	2019.9
入网许可证号	02-D124-190467
手机操作系统	Android
系统版本	ColorOS6
摄像头类型	前单+后双
前摄像头	1600万像素
后摄像头	4800+500万像素
拍照特点	场景模式,滤镜,全景,美颜,防抖,HDR,自动对焦
前摄光圈大小	f/2.0光圈
后摄光圈大小	f/1.7光圈
闪光灯类型	双颗单色温LED闪光灯
变焦模式	数码变焦
传感器类型	CMOS
屏幕尺寸	6.4英寸
屏幕分辨率	2340*1080
屏幕材质	AMOLED
屏幕像素密度（ppi）	402
触摸工艺	On-cell
屏占比	93.1%
颜色	星云紫
机身长度	156.6毫米
机身宽度	74.3毫米
机身厚度	9毫米
重量	185克
机身材质	玻璃
CPU品牌	骁龙（Snapdragon)
CPU型号	高通骁龙™710
CPU频率	2.2Ghz
CPU核数	八核
GPU	Adreno616
双卡机类型	双卡双待
最大支持SIM卡数量	2个
SIM卡尺寸	NanoSIM卡,NanoSIM卡（存储卡共槽位）
4G网络制式	移动4G,联通4G,电信4G,全网通
3G网络制式	移动3G,电信3G,联通3G
2G网络制式	电信2G,移动2G/联通2G,移动2G,联通2G
网络频率	其他
待机模式	双卡双模
副SIM卡尺寸	NanoSIM卡
副SIM卡4G网络制式	移动4G,联通4G,电信4G
副SIM卡3G网络制式	电信3G,联通3G,移动3G
副SIM卡2G网络制式	移动2G/联通2G,电信2G,联通2G,移动2G
机身内存	256GB
运行内存	8GB
电池容量	3765mAh
无线充电	不支持
快充功能	支持
电池更换	不支持
理论待机时间	350小时
电池类型	其他
理论通话时间	1800分钟
数据传输接口	蓝牙,WIFI
NFC（近场通讯）	支持
耳机接口	3.5mm
充电接口类型	Type-C
蓝牙版本	蓝牙5.0
指纹识别	支持
GPS	支持
重力传感器	支持
光线传感器	支持
距离传感器	支持
陀螺仪	支持
红外遥控	不支持
电子罗盘	支持
3D加速	支持
OTG	支持
运营商标识	无
选购热点	支持NFC,Type-C,大屏手机,拍照手机,全面屏手机,后置双摄,指纹识别
CCC认证编号	2018011606052879
生产者（制造商）名称	广东欧珀移动通信有限公司
***
买家没有填写评价内容！

买家没有填写评价内容！

买家没有填写评价内容！

买家没有填写评价内容！

