https://product.suning.com/0070085643/10835595930.html
imgservice.suning.cn/uimg1/b2c/image/yy3LVZLdNt6BcQdIiecscQ.jpg_800w_800h_4e
【3799元/赠智能手环】 OPPO R17Pro王者荣耀版 全网通全面屏手机 8G+128G 全网通 高通SDM670|光感屏幕指纹|前置2500万 双卡双待手机
3799.00
0
2
0
0
0
0
品牌	OPPO
型号	OPPOR17pro
上市时间	2018年10月
手机操作系统	Android
系统版本	基于Android8.1开发的ColorOS5.2
摄像头类型	前单+后双
后摄像头	2000+1200万像素
拍照特点	连拍,自动对焦,美颜,微距,场景模式,滤镜,HDR,全景
前摄光圈大小	f/2.0光圈
后摄光圈大小	其他
闪光灯类型	双颗单色温LED闪光灯
传感器类型	CMOS
屏幕尺寸	6.4英寸
屏幕分辨率	其他
屏幕材质	AMOLED
屏幕像素密度（ppi）	402
触摸工艺	On-cell
屏占比	91.5%
颜色	其他
机身长度	157.5毫米
机身宽度	74.9毫米
机身厚度	7.5毫米
重量	182克
CPU品牌	骁龙（Snapdragon)
CPU型号	高通SDM670
CPU核数	八核
GPU	Adreno615
双卡机类型	双卡双待单通
最大支持SIM卡数量	2个
SIM卡尺寸	NanoSIM卡,NanoSIM卡（存储卡共槽位）
4G网络制式	联通4G,移动4G,电信4G,全网通,双卡单4G
3G网络制式	电信3G,联通3G,移动3G
2G网络制式	移动2G,移动2G/联通2G,电信2G,联通2G
网络频率	2.0GHz
待机模式	双卡双待单通
机身内存	128GB
运行内存	8GB
存储卡类型	支持
最大存储扩展	256GB
电池容量	3500mAh
电池更换	不支持
理论待机时间	350小时
电池类型	聚合物锂电池
理论通话时间	1800分钟
数据传输接口	WIFI,蓝牙
NFC（近场通讯）	其他
耳机接口	3.5mm
充电接口类型	MicroUSB
蓝牙版本	蓝牙5.0
指纹识别	支持
GPS	支持
重力传感器	支持
光线传感器	支持
距离传感器	支持
陀螺仪	支持
电子罗盘	支持
OTG	支持
选购热点	大屏手机,后置双摄,VoLET,超薄机身,女性手机,大容量电池,双卡双待,指纹识别,拍照手机,骁龙芯片,全面屏手机,国产手机
CCC认证编号	2017011606006547
生产者（制造商）名称	广东欧珀移动通信有限公司
***
电池续航：可以，比我之前用的魅族手机好很多！<br/>拍照效果：很好！白天很清晰，晚上稍微差一点点！<br/>显示效果：屏幕很清晰色彩也好<br/>很不错，比我之前用的手机好！！就是手机开机时稍微慢了一点！

此用户没有填写评价内容

