https://product.suning.com/0070094634/11454762195.html
imgservice.suning.cn/uimg1/b2c/image/d7MyGeE3PAhC3bbcvLVvMg.jpg_800w_800h_4e
小米(MI) Redmi 红米K20 Pro 尊享版 全网通 8GB+512GB 水之蜜语 骁龙855Plus 索尼4800万超广角三摄 移动联通电信4G游戏智能手机
2538.00
0
0
0
0
0
0
品牌	小米(mi)
型号	Redmi红米K20Pro
上市时间	2019年
入网许可证号	02-B324-191425
手机操作系统	MIUI
系统版本	以官方信息为准
摄像头类型	其他
前摄像头	2000万像素
后摄像头	4800+800+1300万像素
拍照特点	连拍,美颜,自动对焦,防抖
前摄光圈大小	其他
后摄光圈大小	其他
闪光灯类型	支持
传感器类型	其他
屏幕尺寸	6.39英寸
屏幕分辨率	2340*1080
屏幕材质	其他
屏幕像素密度（ppi）	以官方信息为准
触摸工艺	其他
颜色	白色系
机身长度	156.7毫米
机身宽度	74.3毫米
机身厚度	8.8毫米
重量	191克
机身材质	其它
CPU品牌	骁龙（Snapdragon)
CPU型号	骁龙855Plus
CPU频率	以官方信息为准
CPU核数	八核
GPU	以官方信息为准
双卡机类型	双卡双待单通
最大支持SIM卡数量	2个
SIM卡尺寸	NanoSIM卡
4G网络制式	移动4G,电信4G,联通4G
3G网络制式	联通3G,电信3G,移动3G
2G网络制式	电信2G,移动2G,联通2G
网络频率	以官方信息为准
待机模式	双卡双待单通
是否支持同时使用联通卡	以官方信息为准
机身内存	512GB
运行内存	8GB
电池容量	4000mAh
无线充电	不支持
快充功能	支持
数据传输接口	蓝牙,WIFI
NFC（近场通讯）	以官方信息为准
耳机接口	以官网信息为准
充电接口类型	Type-C
蓝牙版本	蓝牙5.0
指纹识别	支持
GPS	支持
重力传感器	支持
光线传感器	以官网信息为准
距离传感器	以官网信息为准
陀螺仪	支持
运营商标识	无
选购热点	指纹识别,骁龙芯片,拍照手机,后置双摄,游戏手机,国产手机,全面屏手机,双卡双待
CCC认证编号	2019011606153367
生产者（制造商）名称	富智康精密电子(廊坊)有限公司
***
