https://product.suning.com/0070096875/10638772938.html
imgservice.suning.cn/uimg1/b2c/image/WA57_QmuD0jFDFFN9pJh_g.png_800w_800h_4e
HUAWEI/华为 Mate 20 宝石蓝色 6GB+64GB 麒麟980芯片全面屏徕卡三摄移动联通电信4G手机
2128.00
1
1
0
0
0
0
品牌	华为(HUAWEI)
型号	华为Mate20
上市时间	2018年10月
入网许可证号	02-5043-183114
手机操作系统	Android
系统版本	EMUI9.0
摄像头类型	其他
前摄像头	2400万像素万像素
后摄像头	1200+1600+800万像素
拍照特点	自动对焦,防抖,美颜,微距,全景,滤镜,场景模式,HDR
前摄光圈大小	f/2.0光圈
后摄光圈大小	其他
闪光灯类型	支持
变焦模式	数码变焦
传感器类型	×&nbsp;&nbsp;&nbsp;&nbsp;与传统相机相比，传统相机使用“胶卷”作为其记录信息的载体，而数码相机的“胶卷”就是其成像感光元件，而且是与相机一体的，是数码相机的心脏。感光器是数码相机的核心，也是最关键的技术。目前数码相机的核心成像部件有两种：一种是广泛使用的CCD（电荷藕合）元件；另一种是CMOS（互补金属氧化物导体）器件。其他
屏幕尺寸	6.53英寸
屏幕分辨率	1080×2244
屏幕像素密度（ppi）	381
触摸工艺	其他
屏占比	88.07%
颜色	蓝色
机身长度	158.2毫米
机身宽度	77.2毫米
机身厚度	8.3毫米
重量	188克
机身材质	金属+玻璃
CPU品牌	海思（Hisilicon）
CPU型号	Kirin980
CPU频率	以官网信息为准
CPU核数	八核
GPU	MaliG76720MHz
双卡机类型（单卡/双卡）	双卡双待
最大支持SIM卡数量	2个
SIM卡尺寸	NanoSIM卡
4G网络制式	移动4G,联通4G,电信4G
3G网络制式	移动3G,电信3G,联通3G
2G网络制式	电信2G,移动2G,联通2G
网络频率	以官网信息为准
待机模式	双卡双待
副SIM卡尺寸	NanoSIM卡
副SIM卡4G网络制式	移动4G,联通4G,电信4G
副SIM卡3G网络制式	移动3G,电信3G,联通3G
副SIM卡2G网络制式	电信2G,移动2G/联通2G
是否支持同时使用联通卡	支持
机身内存	64GB
运行内存	6GB
存储卡类型	支持
最大存储扩展	256GB
电池容量	4000mAh
无线充电	不支持
快充功能	支持
电池更换	不支持
理论待机时间	36小时
电池类型	聚合物锂电池
理论通话时间	240分钟
数据传输接口	NFC,蓝牙,WIFI
NFC（近场通讯）	支持
耳机接口	3.5mm
充电接口类型	Type-C
蓝牙版本	蓝牙5.0
指纹识别	支持
GPS	支持
重力传感器	支持
光线传感器	支持
距离传感器	支持
陀螺仪	支持
红外遥控	支持
电子罗盘	支持
3D加速	支持
OTG	×&nbsp;&nbsp;&nbsp;&nbsp;OTG是On-The-Go的缩写，是近年发展起来的技术，主要应用于各种不同的设备或移动设备间的联接，进行数据交换。不支持
运营商标识	无
选购热点	双卡双待,快速充电,大容量电池,Type-C,拍照手机,全面屏手机,前置双摄,国产手机
CCC认证编号	2018011606104341
生产者（制造商）名称	华为机器有限公司
***
买家没有填写评价内容！

