https://product.suning.com/0070096875/11382646635.html
imgservice.suning.cn/uimg1/b2c/image/hRChc7T9X3I9bZac7oooGA.jpg_800w_800h_4e
Apple iPhone 11 Pro 512GB 暗夜绿色 移动联通电信4G全网通HDR10后置三摄神经网络引擎取景器双卡双待手机
11498.00
0
7
0
0
0
0
品牌	Apple
型号	11Pro
上市时间	2019年09月20日
手机操作系统	IOS
系统版本	iOS13
摄像头类型	其他
前摄像头	1200万像素
后摄像头	1200+1200+1200万像素
拍照特点	美颜,防抖,自动对焦,连拍
前摄光圈大小	f/2.2光圈
后摄光圈大小	f/2.4光圈
闪光灯类型	LED
变焦模式	数码变焦
传感器类型	CMOS
屏幕尺寸	5.8英寸
屏幕分辨率	2436X1125
屏幕材质	OLED
屏幕像素密度（ppi）	458
触摸工艺	其他
颜色	绿色
机身长度	144毫米
机身宽度	71.4毫米
机身厚度	8.1毫米
重量	188克
机身材质	陶瓷
CPU品牌	以官方信息为准
CPU型号	苹果A13
CPU频率	以官方信息为准
CPU核数	四核
GPU	以官方信息为准
5G网络制式	不支持
双卡机类型	双卡双待单通
最大支持SIM卡数量	2个
SIM卡尺寸	NanoSIM卡（存储卡共槽位）
4G网络制式	全网通
3G网络制式	电信3G,移动3G,联通3G
2G网络制式	电信2G,联通2G,移动2G
网络频率	移动TD-LTE，联通TD-LTE，联通FDD-LTE，电信TD-LTE，电信FDD-LTE
待机模式	双卡双待单通
副SIM卡尺寸	NanoSIM卡
副SIM卡4G网络制式	联通4G,电信4G,移动4G
副SIM卡3G网络制式	移动3G,电信3G,联通3G
副SIM卡2G网络制式	联通2G,电信2G,移动2G
是否支持同时使用联通卡	支持
机身内存	512GB
运行内存	以官网信息为准
存储卡类型	支持
最大存储扩展	128GB
电池容量	3190mAh
无线充电	不支持
快充功能	支持
电池更换	不支持
理论待机时间	65小时
电池类型	其他
理论通话时间	600分钟
数据传输接口	NFC,蓝牙,WIFI
NFC（近场通讯）	支持NFC
耳机接口	以官网信息为准
充电接口类型	Lightning（iPhone）
蓝牙版本	蓝牙5.0
指纹识别	不支持
GPS	支持
重力传感器	支持
光线传感器	支持
距离传感器	支持
陀螺仪	支持
红外遥控	不支持
电子罗盘	支持
3D加速	不支持
OTG	不支持
运营商标识	无
选购热点	面部识别,支持NFC,Type-C,玻璃机身,快速充电
开票单位	台
***
手机包装很好无破损，物流也快，手机外观漂亮，款式好看，质量很好，正品，做工精致，屏幕细腻够大很清晰，色彩饱和度很不错，照相不错，很漂亮，音质也很棒，系统功能强大，运行速度很快，看电影听音乐都很给力，非常享受，操作简单，内存也足够，性价比蛮高的，很划算，支持，超喜欢。

手机包装很好无破损，物流也快，手机外观漂亮，款式好看，质量很好，正品，做工精致，屏幕细腻够大很清晰，色彩饱和度很不错，照相不错，很漂亮，音质也很棒，系统功能强大，运行速度很快，看电影听音乐都很给力，非常享受，操作简单，内存也足够，性价比蛮高的，很划算，支持，超喜欢。

手机包装很好无破损，物流也快，手机外观漂亮，款式好看，质量很好，正品，做工精致，屏幕细腻够大很清晰，色彩饱和度很不错，照相不错，很漂亮，音质也很棒，系统功能强大，运行速度很快，看电影听音乐都很给力， 非常享受，操作简单，内存也足够，性价比蛮高的，很划算，支持，超喜欢。

手机包装很好无破损，物流也快，手机外观漂亮，款式好看，质量很好，正品，做工精致，屏幕细腻够大很清晰，色彩饱和度很不错，照相不错，很漂亮，音质也很棒，系统功能强大，运行速度很快，看电影听音乐都很给力，非常享受，操作简单，内存也足够，性价比蛮高的，很划算，支持，超喜欢。

手机包装很好无破损，物流也快，手机外观漂亮，款式好看，质量很好，正品，做工精致，屏幕细腻够大很清晰，色彩饱和度很不错，照相不错，很漂亮，音质也很棒，系统功能强大，运行速度很快，看电影听音乐都很给力， 非常享受，操作简单，内存也足够，性价比蛮高的，很划算，支持，超喜欢。

手机包装很好无破损，物流也快，手机外观漂亮，款式好看，质量很好，正品，做工精致，屏幕细腻够大很清晰，色彩饱和度很不错，照相不错，很漂亮，音质也很棒，系统功能强大，运行速度很快，看电影听音乐都很给力， 非常享受，操作简单，内存也足够，性价比蛮高的，很划算，支持，超喜欢。

很好用

