https://product.suning.com/0070113915/11454575736.html
imgservice.suning.cn/uimg1/b2c/image/rP2Dnpu7xAZDRo8pi4T0ww.jpg_800w_800h_4e
联想ThinkPad X395（0YCD）13.3英寸轻薄笔记本电脑（锐龙7 PRO 3700U 8G 512GSSD FHD 指纹识别）
5599.00
0
4
0
0
0
0
品牌	ThinkPad
系列	X系列
型号	X30YCD
产品定位	影音娱乐,轻薄便携,家庭办公,学生用机
上市时间	2019年
操作系统	Windows10
核心数	四核心
CPU型号	R7-3700U
CPU平台	AMD
内存类型	DDR4
最大支持内存	8GB
插槽数量	板载内存
内存容量	8GB
硬盘容量	512GB
硬盘类型	固态硬盘
显卡类型	核芯显卡
显存容量	共享系统内存
显卡型号	其他
光驱类型	无光驱
屏幕尺寸	13.3英寸
屏幕比例	16:9
屏幕分辨率	1920×1080
屏幕类型	FHD背光
触摸功能	不支持
色域	无
蓝牙功能	支持
局域网	无
无线局域网	1x1A/CWi-Fi
USB2.0端口	无
USB3.0端口	2个
音频端口	耳机/麦克风二合一接口
视频端口	type-c接口,HDMI,Thunderbolt3(USB-C)端口
读卡器类型	四合一读卡器
内置摄像头	HD摄像头
内置扬声器	支持
内置麦克风	支持
声卡类型	集成式
指取设备	触摸板,指点杆
指纹识别	支持
电池类型	内置锂电池
电源适配器	100-240V自适应交流电源适配器
续航时间	5-7小时
机身尺寸	约312x约217x约16.9毫米
颜色	黑色
净重	1.3千克
厚度	16.9毫米
随机附件	笔记本主机+电源适配器×1、装箱清单×1、产品保修卡×1指南手册×1、外包装箱×1
厂商保修政策	标配全国联保1年，定制升级的内存硬盘店铺质保2年
CCC认证编号	2015010902813864
生产者（制造商）名称	联想信息产品（深圳）有限公司
***
速度快得没得说，外观大气，色彩亮丽，显示清晰，物超所值，第一次在网上购此类物品，很好，物流也快，商家耐心解答所提问题，服务好呀

运行速度很快非常快目前没有卡顿的现在屏幕效果很清晰色彩也很棒屏幕占比很大看的很舒服散热也不错外观是黑色整体非常商务机身也很轻薄13.3寸的屏幕大小刚好非常便捷很适合出差随身携带整体性价比很高价格也合理在预算范围之内物流很高当日送达的

运行速度：快，不卡顿，R7还是性价比超级高。 屏幕效果：屏幕素质真心不错，没有任何瑕疵，完美。 散热性能：还行，不是最优秀，但是这个价位，已经很很很不错了。

这款笔记本电脑只有13.3寸，属于轻薄超薄款，携带方便，买回来后对它是爱不释手，左摸摸西瞅瞅，预装win10操作系统（以前没用过，用的win7）和正版Office办公软件，功能很强大，目前已经研究10多天了，还在探索中！反应速度太快了，真的是一分价格一分货！出差带上它倍有面子！

