https://product.suning.com/0070113915/11557292040.html
imgservice.suning.cn/uimg1/b2c/image/wTq6jiBHhFLbStnuzCXetQ.jpg_800w_800h_4e
联想ThinkPad X395 0WCD 13.3英寸商务轻薄便携笔记本电脑 锐龙5 PRO 8G 512G固态 FHD高清屏 指纹识别 Win10系统
4999.00
0
1
0
0
0
0
品牌	ThinkPad
系列	X系列
型号	X30WCD
产品定位	家庭办公,影音娱乐,学生用机,轻薄便携
上市时间	2019年
操作系统	Windows10
核心数	四核心
CPU型号	R5-3500U
CPU平台	AMD
内存类型	×&nbsp;&nbsp;&nbsp;&nbsp;内存作用是用于暂时存放CPU中的运算数据，以及与硬盘等外部存储器交换的数据，内存的运行也决定了计算机的稳定运行。DDR4
最大支持内存	8GB
插槽数量	板载内存
内存容量	×&nbsp;&nbsp;&nbsp;&nbsp;内存容量通常是指随机存储器（RAM)的容量，是内存条的关键性参数，内存容量越大越有利于系统的运行。8GB
硬盘容量	512GB
硬盘类型	固态硬盘
显卡类型	×&nbsp;&nbsp;&nbsp;&nbsp;显存容量决定着显存临时存储数据的多少。核芯显卡
显存容量	共享系统内存
显卡型号	其他
光驱类型	无光驱
屏幕尺寸	13.3英寸
屏幕比例	16:9
屏幕分辨率	1920×1080
屏幕类型	FHD背光
触摸功能	×&nbsp;&nbsp;&nbsp;&nbsp;触摸功能指的是通过手指在屏幕上直接操作的功能。不支持
色域	无
蓝牙功能	支持
局域网	无
无线局域网	1x1A/CWi-Fi
USB2.0端口	无
USB3.0端口	2个
音频端口	耳机/麦克风二合一接口
视频端口	HDMI,type-c接口,Thunderbolt3(USB-C)端口
读卡器类型	四合一读卡器
内置摄像头	HD摄像头
内置扬声器	支持
内置麦克风	支持
声卡类型	集成式
指取设备	触摸板,指点杆
指纹识别	支持
电池类型	内置锂电池
电源适配器	100-240V自适应交流电源适配器
续航时间	5-7小时
机身尺寸	约312x约217x约16.9毫米
颜色	黑色
净重	1.3千克
厚度	16.9毫米
随机附件	笔记本主机+电源适配器×1、装箱清单×1、产品保修卡×1指南手册×1、外包装箱×1
厂商保修政策	标配全国联保1年，定制升级的内存硬盘店铺质保2年
CCC认证编号	2015010902813864
生产者（制造商）名称	联想信息产品（深圳）有限公司
***
运行速度：特别快，很流畅屏幕效果：显示很清晰，外形外观：很漂亮，就喜欢这种直男黑轻薄程度：很薄，很轻，拿在手里就像拿了一本书一样

