https://product.suning.com/0070128064/11438007397.html
imgservice.suning.cn/uimg1/b2c/image/8k2tcT6uAQubD9dWSvgdjw.jpg_800w_800h_4e
OPPO Reno Ace 高达版 8G+256G 65W超级闪充 90Hz电竞屏 高通骁龙855Plus 4G游戏手机
3599.00
0
1
0
0
0
0
品牌	OPPO
型号	RenoAce
上市时间	2019.11
入网许可证号	02-D124-183149
手机操作系统	Android
系统版本	ColorOS6.1
摄像头类型	其他
前摄像头	3200万像素
后摄像头	4800万+1300万+800万+200万万像素
拍照特点	美颜,自动对焦,连拍,全景,滤镜
前摄光圈大小	f/2.0光圈
后摄光圈大小	f/1.7光圈
闪光灯类型	单颗LED闪光灯
变焦模式	光学变焦
传感器类型	CMOS
屏幕尺寸	6.55英寸
屏幕分辨率	其他
屏幕材质	AMOLED曲面屏
屏幕像素密度（ppi）	402
触摸工艺	On-cell
屏占比	91.9%
颜色	白色
机身长度	161毫米
机身宽度	75.7毫米
机身厚度	8.7毫米
重量	200克
机身材质	金属边框
CPU品牌	骁龙（Snapdragon)
CPU型号	Adreno618
CPU频率	2.2Ghz
CPU核数	八核
GPU	Adreno™640GPU
5G网络制式	不支持
双卡机类型	双卡双待单通
最大支持SIM卡数量	2个
SIM卡尺寸	NanoSIM卡（存储卡共槽位）,NanoSIM卡
4G网络制式	全网通,联通4G,电信4G,移动4G
3G网络制式	联通3G,电信3G,移动3G
2G网络制式	联通2G,移动2G,移动2G/联通2G,电信2G
待机模式	双模双待
副SIM卡尺寸	NanoSIM卡
副SIM卡4G网络制式	移动4G,电信4G,联通4G
副SIM卡3G网络制式	电信3G,联通3G,移动3G
副SIM卡2G网络制式	移动2G,移动2G/联通2G,联通2G,电信2G
是否支持同时使用联通卡	是
机身内存	256GB
运行内存	8GB
电池容量	4000mAh
无线充电	不支持
快充功能	支持
电池更换	不支持
理论待机时间	350小时
电池类型	聚合物锂电池
理论通话时间	1000分钟
数据传输接口	NFC,WIFI,蓝牙
NFC（近场通讯）	支持NFC
耳机接口	3.5mm
充电接口类型	Type-C
蓝牙版本	蓝牙5.0
指纹识别	支持
GPS	支持
重力传感器	支持
光线传感器	支持
距离传感器	支持
陀螺仪	支持
红外遥控	不支持
电子罗盘	支持
3D加速	支持
OTG	支持
运营商标识	无
选购热点	指纹识别,骁龙芯片,全面屏手机,后置双摄,国产手机,拍照手机,双卡双待
CCC认证编号	2019011606174620
生产者（制造商）名称	OPPO广东移动通信有限公司
***
性价比很高的一款手机  果断入手   测试了下  没有网上所提到的问题

