https://product.suning.com/0070128064/11244070681.html
imgservice.suning.cn/uimg1/b2c/image/rnWQtHtOej1dikHW1jkWYg.jpg_800w_800h_4e
OPPO Reno2Z 晨雾白 8G+128G 4800万变焦四摄 视频防抖 6.5英寸阳光护眼全面屏拍照智能手机
2499.00
0
2
0
0
0
0
品牌	OPPO
型号	Reno2Z
上市时间	2019.10
入网许可证号	02-8489-181816
手机操作系统	Android
系统版本	基于Android9.0开发的ColorOS6.1
摄像头类型	其他
前摄像头	1600万像素
后摄像头	4800万+800万+200万+200万万像素
拍照特点	全景,自动对焦,滤镜,美颜,防抖,连拍,微距,HDR,场景模式
前摄光圈大小	f/2.0光圈
后摄光圈大小	f/1.7光圈
闪光灯类型	单颗LED闪光灯
变焦模式	数码变焦
传感器类型	CMOS
屏幕尺寸	6.5英寸
屏幕分辨率	其他
屏幕材质	AMOLED
屏幕像素密度（ppi）	394
触摸工艺	On-cell
屏占比	91.1%
颜色	橙色
机身长度	161.8毫米
机身宽度	75.8毫米
机身厚度	8.7毫米
重量	195克
机身材质	玻璃
CPU品牌	以官方信息为准
CPU型号	以官网信息为准
CPU频率	以官网信息为准
CPU核数	八核
GPU	以官网信息为准
5G网络制式	不支持
双卡机类型	双卡双待单通
最大支持SIM卡数量	2个
SIM卡尺寸	NanoSIM卡（存储卡共槽位）
4G网络制式	移动4G,全网通,联通4G,电信4G
3G网络制式	电信3G,移动3G,联通3G
2G网络制式	联通2G,移动2G,移动2G/联通2G,电信2G
网络频率	2.2GHz
待机模式	双卡双待单通
机身内存	128GB
运行内存	8GB
电池容量	4000mAh
无线充电	不支持
快充功能	支持
电池更换	不支持
理论待机时间	350小时
电池类型	聚合物锂电池
理论通话时间	1000分钟
数据传输接口	WIFI,NFC,蓝牙
NFC（近场通讯）	支持NFC
耳机接口	3.5mm
充电接口类型	Type-C
蓝牙版本	蓝牙5.0
指纹识别	支持
GPS	支持
重力传感器	支持
光线传感器	支持
距离传感器	支持
陀螺仪	支持
OTG	支持
选购热点	玻璃机身,后置双摄,全面屏手机,游戏手机,超薄机身,拍照手机,Type-C,骁龙芯片,指纹识别,支持NFC,快速充电
CCC认证编号	2019011606174621
生产者（制造商）名称	OPPO广东移动通信有限公司
***
手机收到了，没想到这么快，手感很好，我很喜欢

拍照效果很不错，服务也很好，送的杯子很贴心呦

