https://product.suning.com/0070142956/11452532277.html
imgservice.suning.cn/uimg1/b2c/image/cLuB0Ti3uBTOaCg13521ow.jpg_800w_800h_4e
华为/荣耀（honor）荣耀20青春版 6GB+128GB 蓝水翡翠 全网通移动联通电信4G手机
1456.00
0
4
0
0
0
0
品牌	荣耀(honor)
型号	荣耀20青春版
上市时间	2019年10月
手机操作系统	Android
系统版本	EMUI9.1.1；备注：此产品支持升级EMUI版本，不同批次的产品出厂EMUI版本会有不同。
摄像头类型	其他
前摄像头	1600万像素
后摄像头	4800+800+200万像素
拍照特点	美颜,全景,HDR
前摄光圈大小	f/2.0光圈
后摄光圈大小	其他
闪光灯类型	支持
传感器类型	其他
屏幕尺寸	6.3英寸
屏幕分辨率	2400*1080
屏幕材质	AMOLED
屏幕像素密度（ppi）	417
触摸工艺	其他
屏占比	90%
颜色	绿色系
机身长度	157.2毫米
机身宽度	73.2毫米
机身厚度	7.7毫米
重量	171.5克
机身材质	其它
CPU品牌	海思（Hisilicon）
CPU型号	HUAWEIKirin710F（华为麒麟710F）
CPU频率	4*Cortex-A73*2.2GHz+4*Cortex-A53*1.7GHz
CPU核数	八核
GPU	MaliG51-MP4
5G网络制式	不支持
双卡机类型	双卡双待单通
最大支持SIM卡数量	2个
SIM卡尺寸	NanoSIM卡
4G网络制式	联通4G,移动4G,电信4G,全网通
3G网络制式	电信3G,联通3G,移动3G
2G网络制式	联通2G,移动2G,电信2G
待机模式	双卡双待单通
机身内存	128GB
运行内存	6GB
存储卡类型	支持
最大存储扩展	256GB
电池容量	4000mAh
无线充电	不支持
快充功能	支持
电池更换	不支持
电池类型	其他
数据传输接口	蓝牙,WIFI
NFC（近场通讯）	不支持
耳机接口	3.5mm
充电接口类型	Type-C
蓝牙版本	蓝牙5.0
指纹识别	支持
GPS	支持
重力传感器	支持
光线传感器	以官网信息为准
距离传感器	以官网信息为准
红外遥控	不支持
OTG	支持
运营商标识	无
选购热点	国产手机,拍照手机,指纹识别,快速充电,大容量电池,全面屏手机
***
很不错颜色很好看使用起来也很不错使用起来很方便系统也是非常新的

手机很漂亮颜值很高，屏幕清晰，大小合适，拍照效果很强大

用了好几天了，没有出现什么问题，检验过了是正品

此用户没有填写评价内容

