https://product.suning.com/0070142956/11370903706.html
imgservice.suning.cn/uimg1/b2c/image/wi-e-Xt7CF10lR5b4K3EBA.jpg_800w_800h_4e
苹果/Apple iPhone 11 Pro Max (A2220) 256GB 暗夜绿色 移动联通电信全网通4G手机 双卡双待
10188.00
1
2
0
0
0
0
品牌	Apple
型号	iPhone11ProMax
上市时间	2019年9月
手机操作系统	IOS
系统版本	iOS13
摄像头类型	其他
前摄像头	1200万像素
后摄像头	1200+1200+1200万像素
拍照特点	全景,HDR
前摄光圈大小	f/2.2光圈
后摄光圈大小	其他
闪光灯类型	支持
传感器类型	其他
屏幕尺寸	6.5英寸
屏幕分辨率	其他
屏幕材质	OLED
屏幕像素密度（ppi）	458
触摸工艺	其他
颜色	绿色
机身长度	158毫米
机身宽度	77.8毫米
机身厚度	8.1毫米
重量	226克
机身材质	其它
CPU品牌	以官方信息为准
CPU型号	A13仿生第三代神经网络引擎
CPU频率	官网信息为准
CPU核数	以官网信息为准
GPU	官网信息为准
5G网络制式	不支持
双卡机类型	双卡双待单通
最大支持SIM卡数量	2个
SIM卡尺寸	NanoSIM卡
4G网络制式	联通4G,全网通,电信4G,移动4G
3G网络制式	联通3G,电信3G,移动3G
2G网络制式	联通2G,移动2G,电信2G
待机模式	双卡双待单通
副SIM卡尺寸	NanoSIM卡
机身内存	256GB
运行内存	以官网信息为准
存储卡类型	不支持
最大存储扩展	不支持
无线充电	支持
快充功能	支持
电池更换	不支持
电池类型	其他
数据传输接口	WIFI,蓝牙
NFC（近场通讯）	官网信息为准
耳机接口	以官网信息为准
充电接口类型	Lightning（iPhone）
指纹识别	不支持
GPS	支持
光线传感器	以官网信息为准
距离传感器	支持
陀螺仪	支持
红外遥控	不支持
OTG	不支持
运营商标识	无
选购热点	玻璃机身,面部识别,全面屏手机,拍照手机
***
此用户没有填写评价内容

买家没有填写评价内容！

