https://product.suning.com/0070186991/11379921486.html
imgservice.suning.cn/uimg1/b2c/image/H1KUVVxRwKcmvRXokA-LwA.jpg_800w_800h_4e
苹果(Apple) iPhone 8 Plus 128GB 金色 移动联通电信 全网通4G 苹果手机A1864
4888.00
1
4
0
0
0
1
品牌	Apple
型号	iPhone8Plus
入网许可证号	02-8573-172975
手机操作系统	IOS
系统版本	以官信息为准
摄像头类型	前单+后双
前摄像头	700万像素
后摄像头	1200万像素
拍照特点	自动对焦
前摄光圈大小	其他
后摄光圈大小	其他
闪光灯类型	支持
变焦模式	光学变焦
传感器类型	其他
屏幕尺寸	5.5英寸
屏幕分辨率	1920×1080
屏幕材质	其他
触摸工艺	其他
颜色	金色系
机身长度	158.4毫米
机身宽度	78.1毫米
机身厚度	7.5毫米
重量	202克
机身材质	玻璃
CPU品牌	以官方信息为准
CPU型号	以官网信息为准
CPU频率	以官网信息为准
CPU核数	以官网信息为准
5G网络制式	不支持
双卡机类型	单卡
最大支持SIM卡数量	1个
SIM卡尺寸	NanoSIM卡
4G网络制式	电信4G,联通4G,移动4G,全网通
3G网络制式	联通3G,电信3G,移动3G
2G网络制式	移动2G,电信2G,移动2G/联通2G,联通2G
网络频率	以官信息为准
待机模式	单卡单模
副SIM卡尺寸	NanoSIM卡
副SIM卡4G网络制式	移动4G,联通4G,电信4G
副SIM卡3G网络制式	电信3G,移动3G,联通3G
副SIM卡2G网络制式	移动2G/联通2G,电信2G
是否支持同时使用联通卡	以官信息为准
机身内存	128GB
运行内存	以官网信息为准
存储卡类型	不支持
最大存储扩展	不支持
无线充电	支持
快充功能	支持
电池更换	不支持
电池类型	其他
数据传输接口	WIFI,蓝牙,NFC
NFC（近场通讯）	以官网信息为准
耳机接口	以官网信息为准
充电接口类型	Lightning（iPhone）
蓝牙版本	蓝牙5.0
指纹识别	支持
重力传感器	支持
光线传感器	支持
距离传感器	支持
陀螺仪	支持
3D加速	支持
运营商标识	无
选购热点	大容量电池,女性手机,游戏手机,后置双摄,拍照手机,玻璃机身,大屏手机,指纹识别,快速充电,超薄机身
CCC认证编号	2017011606002399
生产者（制造商）名称	富泰华工业（深圳）有限公司
***
好评

给我的手机听筒是坏的，还是我自己去修的，客服存在欺骗消费者

此用户没有填写评价内容

此用户没有填写评价内容

买家没有填写评价内容！

