https://product.suning.com/0070186991/10607239722.html
imgservice.suning.cn/uimg1/b2c/image/UBI5yGe4E10XldddUhubZg.jpg_800w_800h_4e
苹果(Apple) 苹果 iPhone XS 512GB 银色 移动联通电信4G全面屏手机
9299.00
0
0
0
0
0
0
品牌	Apple
型号	iPhoneXS
上市时间	2018年9月
入网许可证号	02-8573-182905
手机操作系统	IOS
摄像头类型	前单+后双
前摄像头	700万像素
后摄像头	双1200万像素
前摄光圈大小	其他
后摄光圈大小	其他
闪光灯类型	其他
传感器类型	其他
屏幕尺寸	5.8英寸
屏幕分辨率	2436X1125
颜色	银色系
机身长度	143.6毫米
机身宽度	70.9毫米
机身厚度	7.7毫米
重量	177克
机身材质	其它
CPU品牌	以官方信息为准
CPU型号	以官网信息为准
CPU频率	以官网信息为准
双卡机类型	单卡
最大支持SIM卡数量	1个
SIM卡尺寸	NanoSIM卡
4G网络制式	联通4G,全网通,移动4G,电信4G
3G网络制式	移动3G,联通3G,电信3G
2G网络制式	电信2G,移动2G,联通2G
待机模式	单卡单模
机身内存	512GB
运行内存	以官网信息为准
存储卡类型	不支持
无线充电	支持
快充功能	支持
电池更换	不支持
数据传输接口	WIFI,蓝牙,NFC
NFC（近场通讯）	支持
耳机接口	以官网信息为准
充电接口类型	Lightning（iPhone）
指纹识别	不支持
GPS	支持
光线传感器	支持
陀螺仪	支持
选购热点	游戏手机,快速充电,支持NFC
CCC认证编号	2016011606893750
生产者（制造商）名称	富泰华工业(深圳)有限公司
***
