https://product.suning.com/0070209009/11338173720.html
imgservice.suning.cn/uimg1/b2c/image/5M8Z8biCM43uOSom-xPHrA.jpg_800w_800h_4e
【官方正品】OPPO Reno2 海洋之心 8G+128G 全网通 4800万变焦四摄 视频防抖 6.5英寸阳光护眼全面屏拍照智能手机
2999.00
1
4
0
0
0
0
品牌	OPPO
型号	PCKM00
上市时间	2019/9/12
入网许可证号	02-D124-191001
手机操作系统	Android
系统版本	ColorOS6.1
摄像头类型	其他
前摄像头	1600万像素
后摄像头	4800万像素
拍照特点	防抖,自动对焦,HDR,全景,微距,连拍,美颜
前摄光圈大小	f/2.0光圈
后摄光圈大小	f/1.7光圈
闪光灯类型	双颗单色温LED闪光灯
变焦模式	数码变焦
传感器类型	CMOS
屏幕尺寸	6.5英寸
屏幕分辨率	其他
屏幕材质	AMOLED
屏幕像素密度（ppi）	401
触摸工艺	其他
屏占比	93.1%
颜色	蓝色
机身长度	160毫米
机身宽度	74.3毫米
机身厚度	9.5毫米
重量	189克
机身材质	玻璃
CPU品牌	骁龙（Snapdragon)
CPU型号	骁龙730G
CPU频率	2.2Ghz
CPU核数	八核
GPU	Adreno618
双卡机类型	双卡双待单通
最大支持SIM卡数量	2个
SIM卡尺寸	NanoSIM卡
4G网络制式	双卡双4G,全网通,联通4G,移动4G,电信4G
3G网络制式	移动3G,电信3G,联通3G
2G网络制式	电信2G,移动2G/联通2G,联通2G,移动2G
待机模式	双卡双待
机身内存	128GB
运行内存	8GB
存储卡类型	支持
最大存储扩展	256GB
电池容量	4000mAh
无线充电	不支持
快充功能	支持
理论待机时间	350小时
电池类型	聚合物锂电池
理论通话时间	2100分钟
数据传输接口	NFC,WIFI,蓝牙
NFC（近场通讯）	支持
耳机接口	3.5mm
充电接口类型	Type-C
蓝牙版本	蓝牙5.0
指纹识别	支持
GPS	支持
重力传感器	支持
光线传感器	支持
距离传感器	支持
陀螺仪	支持
红外遥控	不支持
电子罗盘	支持
OTG	支持
选购热点	全面屏手机,支持NFC,快速充电,Type-C,玻璃机身,双卡双待,后置双摄,游戏手机
CCC认证编号	2019011606163603
生产者（制造商）名称	OPPO广东移动通信有限公司
***
电池续航：能。<br/>显示效果：屏幕显示非常清楚。<br/>很好。谢谢老板，物流很快。

还不错哦，拍照漂亮，大方得体，适合送给女生礼物

手机使用很流畅，电池一整天够用。送的手环表带扣子坏了，跟客服沟通给补发一个。整体来说是一次愉快的购物体验。

买家没有填写评价内容！

