https://product.suning.com/0070215654/11432213371.html
imgservice.suning.cn/uimg1/b2c/image/SnN-x-bzFOCtqMuhI3CChw.jpg_800w_800h_4e
【2019新款正品】Apple iPhone 11 Pro Max 美版未激活有锁电信4G手机 256G 白色【裸机】
6999.00
0
0
0
0
0
0
品牌	Apple
型号	苹果11ProMax
上市时间	2019年09月
手机操作系统	IOS
系统版本	iOS13
摄像头类型	其他
前摄像头	1200万像素
后摄像头	1200+1200+1200万像素
拍照特点	微距,滤镜,全景,连拍,防抖,自动对焦,美颜,HDR,场景模式,PDAF
前摄光圈大小	f/2.2光圈
后摄光圈大小	其他
闪光灯类型	支持
变焦模式	光学变焦
传感器类型	其他
屏幕尺寸	6.5英寸
屏幕分辨率	其他
屏幕材质	OLED
屏幕像素密度（ppi）	458
触摸工艺	其他
屏占比	91.4%
颜色	白色
机身长度	158毫米
机身宽度	77.8毫米
机身厚度	8.1毫米
重量	226克
机身材质	其它
CPU品牌	以官方信息为准
CPU型号	苹果A13
CPU频率	以官网信息为准
CPU核数	八核
GPU	--
5G网络制式	不支持
双卡机类型	单卡
最大支持SIM卡数量	1个
SIM卡尺寸	NanoSIM卡
4G网络制式	全网通,电信4G,联通4G,移动4G
3G网络制式	电信3G,联通3G,移动3G
2G网络制式	移动2G/联通2G
网络频率	以官网信息为准
待机模式	单卡单模
是否支持同时使用联通卡	以官网信息为准
机身内存	256GB
运行内存	以官网信息为准
存储卡类型	不支持
最大存储扩展	不支持
电池容量	3500mAh
无线充电	支持
快充功能	支持
电池更换	不支持
理论待机时间	72小时
电池类型	其他
理论通话时间	180分钟
数据传输接口	WIFI,蓝牙,NFC
NFC（近场通讯）	--
耳机接口	以官网信息为准
充电接口类型	Lightning（iPhone）
蓝牙版本	蓝牙5.0
指纹识别	不支持
GPS	支持
重力传感器	不支持
光线传感器	支持
距离传感器	支持
陀螺仪	支持
红外遥控	支持
电子罗盘	支持
3D加速	不支持
OTG	不支持
运营商标识	无
选购热点	超薄机身,快速充电,大容量电池,拍照手机,面部识别,游戏手机,玻璃机身
***
