https://product.suning.com/0070215654/10975554703.html
imgservice.suning.cn/uimg1/b2c/image/dR4K04jimeykqAxNV5Uetw.jpg_800w_800h_4e
Apple/苹果 iPhone 8 移动 智能手机 全新激活有锁【裸机+充电器套餐】 苹果8 黑色 64GB 美版
2399.00
0
2
0
0
0
0
品牌	Apple
型号	iPhone8
上市时间	2017年09月
入网许可证号	以官网信息为准
手机操作系统	IOS
系统版本	ios
摄像头类型	前单+后单
前摄像头	以官网信息为准万像素
后摄像头	1200万像素
拍照特点	防抖
前摄光圈大小	f/1.8光圈
后摄光圈大小	f/2.2光圈
闪光灯类型	支持
变焦模式	光学变焦
传感器类型	其他
屏幕尺寸	4.7英寸
屏幕分辨率	其他
屏幕材质	其他
屏幕像素密度（ppi）	326
触摸工艺	其他
屏占比	65.37%
颜色	黑色
机身长度	138.4毫米
机身宽度	67.3毫米
机身厚度	7.3毫米
重量	148克
机身材质	其它
CPU品牌	以官方信息为准
CPU型号	苹果A11+M11协处理器
CPU频率	以官网信息为准
CPU核数	六核
GPU	--
双卡机类型	单卡
最大支持SIM卡数量	1个
SIM卡尺寸	NanoSIM卡
4G网络制式	联通4G,移动4G
3G网络制式	移动3G,联通3G
2G网络制式	移动2G/联通2G
网络频率	移动联通
待机模式	单卡单模
是否支持同时使用联通卡	以官网信息为准
机身内存	64GB
运行内存	2GB
存储卡类型	不支持
最大存储扩展	不支持
电池容量	1821mAh
无线充电	支持
快充功能	支持
电池更换	不支持
理论待机时间	72小时
电池类型	其他
理论通话时间	180分钟
数据传输接口	WIFI,蓝牙,NFC
NFC（近场通讯）	--
耳机接口	以官网信息为准
充电接口类型	Lightning（iPhone）
蓝牙版本	蓝牙5.0
指纹识别	支持
GPS	支持
重力传感器	不支持
光线传感器	支持
距离传感器	支持
陀螺仪	支持
红外遥控	支持
电子罗盘	支持
3D加速	不支持
OTG	不支持
运营商标识	无
选购热点	超薄机身,快速充电,指纹识别,大容量电池,拍照手机,游戏手机
***
此用户没有填写评价内容

此用户没有填写评价内容

