https://product.suning.com/0070215654/11376879804.html
imgservice.suning.cn/uimg1/b2c/image/0e9GNSgsVFvgPSLEM2rOeQ.jpg_800w_800h_4e
【全新原装正品】苹果Apple iPhone 11电信4G智能手机【裸机】美版有锁未激活 128GB 白色
4599.00
0
0
0
0
0
0
品牌	Apple
型号	iPhone11
上市时间	2019年9月
手机操作系统	IOS
系统版本	iOS13
摄像头类型	前单+后双
前摄像头	1200万像素
后摄像头	双1200万像素
拍照特点	连拍,全景,自动对焦,防抖,美颜,微距,PDAF,场景模式,HDR
前摄光圈大小	f/2.2光圈
后摄光圈大小	其他
闪光灯类型	其他
变焦模式	光学变焦
传感器类型	CMOS
屏幕尺寸	6.1英寸
屏幕分辨率	其他
屏幕材质	IPS
屏幕像素密度（ppi）	326
触摸工艺	其他
屏占比	91.4%
颜色	白色
机身长度	150.9毫米
机身宽度	75.7毫米
机身厚度	8.3毫米
重量	194克
机身材质	玻璃
CPU品牌	以官方信息为准
CPU型号	苹果A13
CPU频率	以官网信息为准
CPU核数	八核
GPU	以官网信息为准
5G网络制式	不支持
双卡机类型	单卡
最大支持SIM卡数量	1个
SIM卡尺寸	NanoSIM卡
4G网络制式	电信4G,联通4G,移动4G
3G网络制式	联通3G,移动3G,电信3G
2G网络制式	移动2G/联通2G,电信2G
网络频率	以官网信息为准
待机模式	单卡单模
是否支持同时使用联通卡	以官网信息为准
机身内存	128GB
运行内存	4GB
存储卡类型	不支持
最大存储扩展	不支持
电池容量	3110mAh
无线充电	支持
快充功能	支持
电池更换	不支持
电池类型	其他
数据传输接口	蓝牙,WIFI,NFC
NFC（近场通讯）	以官网信息为准
耳机接口	以官网信息为准
充电接口类型	Lightning（iPhone）
蓝牙版本	蓝牙5.0
指纹识别	不支持
GPS	支持
重力传感器	支持
光线传感器	支持
距离传感器	以官网信息为准
红外遥控	不支持
电子罗盘	不支持
3D加速	不支持
OTG	支持
运营商标识	无
选购热点	支持NFC,快速充电,大屏手机,玻璃机身,后置双摄,面部识别
***
