https://product.suning.com/0070216052/10729333590.html
imgservice.suning.cn/uimg1/b2c/image/q8R0yazNeZRu0Q0n9-fiDw.jpg_800w_800h_4e
【原封正品】Apple/苹果iPhone XR 美版有锁未激活【电信4G】智能手机 64GB 珊瑚色【官方标配】苹果手机
3350.00
2
6
0
0
0
0
品牌	Apple
型号	iPhoneXR
上市时间	2018年10月
手机操作系统	IOS
系统版本	IOS12
摄像头类型	前单+后单
前摄像头	700万像素
后摄像头	1200万像素
拍照特点	全景,连拍,HDR,美颜,防抖,自动对焦,滤镜,微距,场景模式
前摄光圈大小	f/2.2光圈
后摄光圈大小	f/2.2光圈
闪光灯类型	支持
变焦模式	数码变焦
传感器类型	CMOS
屏幕尺寸	6.1英寸
屏幕分辨率	其他
屏幕材质	LCD
屏幕像素密度（ppi）	326
触摸工艺	其他
屏占比	80.02%
颜色	其他
机身长度	150.9毫米
机身宽度	75.7毫米
机身厚度	8.3毫米
重量	194克
机身材质	金属+玻璃
CPU品牌	以官方信息为准
CPU型号	A12仿生
CPU频率	-
CPU核数	六核
GPU	-
双卡机类型	单卡
最大支持SIM卡数量	1个
SIM卡尺寸	NanoSIM卡
4G网络制式	电信4G
3G网络制式	电信3G
2G网络制式	电信2G
网络频率	移动联通4G
待机模式	单卡单模
是否支持同时使用联通卡	不支持
机身内存	64GB
运行内存	3GB
存储卡类型	不支持
最大存储扩展	不支持
电池容量	2942mAh
无线充电	支持
快充功能	支持
电池更换	不支持
电池类型	锂电池
数据传输接口	蓝牙,WIFI
NFC（近场通讯）	支持
耳机接口	以官网信息为准
充电接口类型	Lightning（iPhone）
蓝牙版本	蓝牙5.0
指纹识别	不支持
GPS	支持
重力传感器	支持
光线传感器	支持
距离传感器	支持
陀螺仪	支持
红外遥控	不支持
电子罗盘	支持
3D加速	不支持
OTG	不支持
运营商标识	无
选购热点	快速充电
***
已使用，很开心.人脸解锁很好用，整体感觉很好.

电池续航：待机时间一天左右，挺好的，可能两个手机在用，所以时间长吧，总体感觉不错<br/>拍照效果：清晰哦<br/>显示效果：屏幕对我来说很可爱，合适，不喜欢全屏才买这个的呢<br/>挺好的拍照效果我超喜欢啊，很棒。喜欢除因为有锁，自己太木鱼，一直解不***，又寄回去客服给我解锁给我寄回来，无线充电器坏的给我寄了一个新的来，，，真的是很有耐心很不错，并不是像其他说的苏宁客服渣渣，希望更多的人接受苏宁，也希望苏宁更更上一层楼吧，做好。一开始害怕是翻新机，二手机之类的。。结果物流是国际物流，我还在***上专门验机，是正品零售美版机。。。第一次网购手机，第一次买苹果，第一次用苏宁。。。。总的来说还是很棒啦，开心，手机已经用了好久了，真的流畅好用，除了有时候信号掉到3G需要反激活以外其他都挺好的。如果以后有朋友要买手机，我会推荐你们家的。之所以评论这么多，是因为确实因为解锁那些麻烦了客服很久，都没有发火。我还是挺开心的。没有出现像其他知乎上所说的手机咋咋咋的，！！！一百分

挺好的哈哈就是激活有点麻烦不过有客服小姐姐***指导很轻松

宝贝收到了，很满意，非常好。

买家没有填写评价内容！

买家没有填写评价内容！

