https://product.suning.com/0070216052/11241886144.html
imgservice.suning.cn/uimg1/b2c/image/OTEpq2N7F04uQCl3zlSD6Q.jpg_800w_800h_4e
【全新正品】Apple/苹果 iPhone XS 美版有锁 电信4G智能手机【未激活 裸机】512GB 银色 苹果手机
5688.00
0
0
0
0
0
0
品牌	Apple
型号	iPhoneXS
上市时间	2018年9月
手机操作系统	IOS
系统版本	IOS12
摄像头类型	前单+后双
前摄像头	700万像素
后摄像头	双1200万像素
拍照特点	HDR,场景模式,滤镜,全景,防抖,微距,美颜,连拍,自动对焦
前摄光圈大小	其他
后摄光圈大小	其他
闪光灯类型	支持
变焦模式	数码变焦
传感器类型	CMOS
屏幕尺寸	5.8英寸
屏幕分辨率	2436X1125
屏幕材质	OLED
屏幕像素密度（ppi）	458
触摸工艺	其他
颜色	银色
机身长度	143.6毫米
机身宽度	70.9毫米
机身厚度	7.7毫米
重量	177克
机身材质	金属+玻璃
CPU品牌	以官方信息为准
CPU型号	苹果A12仿生
CPU频率	-
CPU核数	其他
GPU	-
双卡机类型	单卡
最大支持SIM卡数量	1个
SIM卡尺寸	NanoSIM卡
4G网络制式	电信4G
3G网络制式	电信3G
2G网络制式	电信2G
网络频率	-
待机模式	单卡单模
副SIM卡4G网络制式	不支持
副SIM卡3G网络制式	不支持
是否支持同时使用联通卡	不支持
机身内存	512GB
运行内存	4GB
存储卡类型	不支持
最大存储扩展	不支持
无线充电	支持
快充功能	支持
电池更换	不支持
电池类型	锂电池
数据传输接口	WIFI,NFC,蓝牙
NFC（近场通讯）	支持
耳机接口	以官网信息为准
充电接口类型	Lightning（iPhone）
蓝牙版本	蓝牙5.0
指纹识别	不支持
GPS	支持
重力传感器	支持
光线传感器	支持
距离传感器	支持
陀螺仪	支持
红外遥控	不支持
电子罗盘	不支持
3D加速	不支持
OTG	不支持
运营商标识	无
选购热点	后置双摄,全面屏手机,支持NFC
***
