https://product.suning.com/0070224176/11130500175.html
imgservice.suning.cn/uimg1/b2c/image/vvGlBh3Yeqwdlfm4DKoM8w.jpg_800w_800h_4e
Apple/苹果 iphone8 plus 美版全新有锁 智能手机 苹果8plus 64GB 银白色
3788.00
0
0
0
0
0
0
品牌	Apple
型号	iPhone8Plus
上市时间	2017年11月
入网许可证号	以官网信息为准
手机操作系统	IOS
摄像头类型	其他
前摄像头	800万像素
后摄像头	1200万像素
拍照特点	HDR,防抖
前摄光圈大小	其他
后摄光圈大小	其他
闪光灯类型	支持
屏幕尺寸	5.5英寸
屏幕分辨率	其他
屏幕材质	其他
颜色	白色
机身长度	158.4毫米
机身宽度	78.1毫米
机身厚度	7.5毫米
重量	202克
机身材质	其它
CPU品牌	以官方信息为准
CPU型号	苹果A11+M11协处理器
CPU频率	以官网信息为准
CPU核数	其他
双卡机类型	单卡
SIM卡尺寸	NanoSIM卡
4G网络制式	全网通
3G网络制式	联通3G,移动3G,电信3G
2G网络制式	移动2G/联通2G,电信2G
机身内存	64GB
运行内存	3GB
存储卡类型	不支持
最大存储扩展	不支持
无线充电	支持
快充功能	支持
电池更换	不支持
数据传输接口	蓝牙
耳机接口	以官网信息为准
充电接口类型	Lightning（iPhone）
指纹识别	支持
GPS	支持
重力传感器	支持
光线传感器	支持
距离传感器	支持
陀螺仪	支持
选购热点	指纹识别,玻璃机身
***
