https://product.suning.com/0070224176/10750336638.html
imgservice.suning.cn/uimg1/b2c/image/FtWeathWALrW0IclTdzrAw.jpg_800w_800h_4e
Apple iPhone XS 苹果新款 美版有锁全新 移动联通电信4G手机 A12仿生芯片 新品全面屏智能手机 银色 256GB
5488.00
1
1
0
0
0
0
品牌	Apple
型号	iPhoneXS
上市时间	2018.9
手机操作系统	IOS
系统版本	iOS12
摄像头类型	前单+后单
后摄像头	1200+1200万像素
拍照特点	防抖,自动对焦,连拍,场景模式,HDR
前摄光圈大小	f/1.8光圈
后摄光圈大小	f/1.8光圈
闪光灯类型	支持
变焦模式	数码变焦
屏幕尺寸	5.8英寸
屏幕分辨率	2436X1125
屏幕材质	OLED
屏幕像素密度（ppi）	458
触摸工艺	其他
颜色	银色
机身长度	143.6毫米
机身宽度	70.9毫米
机身厚度	7.7毫米
重量	177克
机身材质	金属+玻璃
CPU品牌	以官方信息为准
CPU型号	A12仿生
CPU核数	八核
双卡机类型	单卡
最大支持SIM卡数量	1个
SIM卡尺寸	NanoSIM卡
4G网络制式	全网通,电信4G,移动4G,联通4G
3G网络制式	联通3G,电信3G,移动3G
2G网络制式	电信2G,移动2G/联通2G
机身内存	256GB
运行内存	4GB
存储卡类型	不支持
最大存储扩展	不支持
电池容量	2658mAh
无线充电	支持
快充功能	支持
电池更换	不支持
电池类型	锂电池
数据传输接口	蓝牙,WIFI,NFC
耳机接口	以官网信息为准
充电接口类型	Lightning（iPhone）
蓝牙版本	蓝牙5.0
指纹识别	不支持
GPS	支持
重力传感器	支持
光线传感器	支持
距离传感器	支持
陀螺仪	支持
红外遥控	不支持
电子罗盘	支持
运营商标识	无
选购热点	后置双摄,大屏手机,全面屏手机,三防手机
***
买家没有填写评价内容！

