https://product.suning.com/0070224176/11403385660.html
imgservice.suning.cn/uimg1/b2c/image/KuJAisSBmKkGsDZV56Zbyg.jpg_800w_800h_4e
Apple iPhone 11 紫色 128GB 美版有锁 移动联通电信4G全网通手机
5288.00
0
0
0
0
0
0
品牌	Apple
型号	iPhone11
上市时间	2019年9月
手机操作系统	IOS
系统版本	13
摄像头类型	前单+后双
前摄像头	1200万像素
后摄像头	1200万像素
拍照特点	连拍,滤镜,防抖,微距,自动对焦,场景模式
前摄光圈大小	f/2.2光圈
后摄光圈大小	f/2.4光圈
闪光灯类型	其他
屏幕尺寸	6.1英寸
屏幕分辨率	其他
屏幕材质	LCD
屏幕像素密度（ppi）	326
颜色	紫色
机身长度	150.9毫米
机身宽度	75.7毫米
机身厚度	8.3毫米
重量	194克
CPU品牌	以官方信息为准
CPU型号	A13
5G网络制式	不支持
双卡机类型	单卡
最大支持SIM卡数量	1个
SIM卡尺寸	NanoSIM卡
4G网络制式	移动4G,电信4G,全网通,联通4G
3G网络制式	移动3G,联通3G,电信3G
2G网络制式	电信2G,移动2G/联通2G
待机模式	单卡单模
机身内存	128GB
运行内存	4GB
存储卡类型	不支持
最大存储扩展	不支持
无线充电	支持
快充功能	支持
电池更换	不支持
电池类型	聚合物锂电池
数据传输接口	蓝牙,WIFI
耳机接口	以官网信息为准
充电接口类型	Lightning（iPhone）
蓝牙版本	以官网信息为准
指纹识别	不支持
GPS	支持
重力传感器	支持
光线传感器	支持
距离传感器	支持
陀螺仪	支持
红外遥控	不支持
电子罗盘	支持
3D加速	支持
OTG	不支持
***
