https://product.suning.com/0070224176/11130500297.html
imgservice.suning.cn/uimg1/b2c/image/AFS7-s-zIZXfQ3wH_JQwrg.jpg_800w_800h_4e
Apple/苹果 iphone8 美版全新有锁 智能手机 苹果8 64GB 金色
2788.00
1
2
0
0
0
0
品牌	Apple
型号	iPhone8
上市时间	2017年11月
入网许可证号	以官网信息为准
手机操作系统	IOS
系统版本	iOS11
摄像头类型	前单+后单
前摄像头	800万像素
后摄像头	1200万像素
拍照特点	自动对焦
前摄光圈大小	f/2.2光圈
后摄光圈大小	f/1.8光圈
闪光灯类型	LED
变焦模式	光学变焦
传感器类型	CMOS
屏幕尺寸	4.7英寸
屏幕分辨率	1334×750
屏幕材质	IPS
屏幕像素密度（ppi）	326
触摸工艺	其他
屏占比	65.37%
颜色	金色
机身长度	138.4毫米
机身宽度	67.3毫米
机身厚度	7.3毫米
重量	148克
机身材质	金属+玻璃
CPU品牌	以官方信息为准
CPU型号	苹果A11+M11协处理器
CPU频率	以官网信息为准
CPU核数	以官网信息为准
GPU	苹果A11+M11协处理器
双卡机类型	单卡
最大支持SIM卡数量	1个
SIM卡尺寸	NanoSIM卡
4G网络制式	全网通
3G网络制式	联通3G,移动3G,电信3G
2G网络制式	移动2G/联通2G
网络频率	以官网信息为准
待机模式	单卡单模
机身内存	64GB
运行内存	2GB
存储卡类型	不支持
最大存储扩展	不支持
电池容量	1821mAh
无线充电	不支持
快充功能	不支持
电池更换	支持
电池类型	锂电池
数据传输接口	蓝牙
NFC（近场通讯）	支持
耳机接口	以官网信息为准
充电接口类型	Lightning（iPhone）
蓝牙版本	蓝牙5.0
指纹识别	支持
GPS	支持
重力传感器	支持
光线传感器	支持
距离传感器	支持
陀螺仪	支持
红外遥控	不支持
电子罗盘	不支持
3D加速	支持
OTG	不支持
运营商标识	无
选购热点	金属机身,指纹识别
***
运行速度:可以<br/>拍照效果:非常不错

买家没有填写评价内容！

