https://product.suning.com/0070517287/11500907899.html
imgservice.suning.cn/uimg1/b2c/image/-62OhvM1WxtpxJObSvkxzw.jpg_800w_800h_4e
小米(MI) Redmi 红米K20 Pro 尊享版 全网通 8GB+512GB 火焰红 骁龙855Plus 索尼4800万超广角三摄 移动联通电信4G游戏智能手机
2498.00
0
1
0
0
0
0
品牌	小米(mi)
型号	Redmi红米K20Pro
上市时间	2019年
入网许可证号	02-B324-191425
手机操作系统	MIUI
系统版本	以官方信息为准
摄像头类型	其他
前摄像头	2000万像素
后摄像头	4800+800+1300万像素
拍照特点	自动对焦,防抖,美颜,连拍
前摄光圈大小	其他
后摄光圈大小	其他
闪光灯类型	支持
传感器类型	×&nbsp;&nbsp;&nbsp;&nbsp;与传统相机相比，传统相机使用“胶卷”作为其记录信息的载体，而数码相机的“胶卷”就是其成像感光元件，而且是与相机一体的，是数码相机的心脏。感光器是数码相机的核心，也是最关键的技术。目前数码相机的核心成像部件有两种：一种是广泛使用的CCD（电荷藕合）元件；另一种是CMOS（互补金属氧化物导体）器件。其他
屏幕尺寸	6.39英寸
屏幕分辨率	2340*1080
屏幕材质	其他
屏幕像素密度（ppi）	以官方信息为准
触摸工艺	其他
颜色	红色
机身长度	156.7毫米
机身宽度	74.3毫米
机身厚度	8.8毫米
重量	191克
机身材质	其它
CPU品牌	骁龙（Snapdragon)
CPU型号	骁龙855Plus
CPU频率	以官方信息为准
CPU核数	八核
GPU	以官方信息为准
双卡机类型（单卡/双卡）	双卡双待单通
最大支持SIM卡数量	2个
SIM卡尺寸	NanoSIM卡
4G网络制式	移动4G,联通4G,电信4G
3G网络制式	移动3G,电信3G,联通3G
2G网络制式	电信2G,移动2G
网络频率	以官方信息为准
待机模式	双卡双待单通
是否支持同时使用联通卡	以官方信息为准
机身内存	512GB
运行内存	8GB
电池容量	4000mAh
无线充电	不支持
快充功能	支持
数据传输接口	蓝牙,WIFI
NFC（近场通讯）	以官方信息为准
耳机接口	以官网信息为准
充电接口类型	Type-C
蓝牙版本	蓝牙5.0
指纹识别	支持
GPS	支持
重力传感器	支持
光线传感器	以官网信息为准
距离传感器	以官网信息为准
陀螺仪	支持
运营商标识	无
选购热点	双卡双待,指纹识别,骁龙芯片,拍照手机,游戏手机
开票单位	台
CCC认证编号	2019011606153367
生产者（制造商）名称	富智康精密电子(廊坊)有限公司
***
物流有点慢，手机很好用。流畅不卡内存大，玩游戏很棒！

