https://product.suning.com/0070517287/11597176525.html
imgservice.suning.cn/uimg1/b2c/image/z8qdpKCDI680WtVfDYi41A.jpg_800w_800h_4e
华为(HUAWEI)华为畅享10S 全网通版 6GB+128GB 翡冷翠 4000mAh大电池 4800万超广角AI三摄 炫彩OLED屏幕指纹 移动联通电信4G手机
1528.00
0
0
0
0
0
0
品牌	华为(HUAWEI)
型号	畅享10S
上市时间	2019年10月
手机操作系统	Android
系统版本	Android9
摄像头类型	其他
前摄像头	1600万像素
后摄像头	4800+800+200万像素
拍照特点	自动对焦,防抖,美颜,连拍,微距,全景,滤镜,场景模式
前摄光圈大小	f/2.0光圈
后摄光圈大小	其他
闪光灯类型	支持
屏幕尺寸	6.3英寸
屏幕分辨率	2400*1080
屏幕像素密度（ppi）	417
颜色	翡冷翠
机身长度	157.4毫米
机身宽度	73.2毫米
机身厚度	7.75毫米
重量	163克
CPU品牌	以官方信息为准
CPU型号	HisiliconKirin710F
CPU频率	4*2.2GHz+4*1.7GHz
CPU核数	八核
GPU	以官网信息为准
5G网络制式	不支持
双卡机类型（单卡/双卡）	双卡双待单通
最大支持SIM卡数量	2个
SIM卡尺寸	NanoSIM卡
4G网络制式	移动4G,联通4G,电信4G,全网通
3G网络制式	移动3G,电信3G,联通3G
2G网络制式	电信2G,移动2G
网络频率	以官网信息为准
待机模式	双卡双待单通
是否支持同时使用联通卡	以官网信息为准
机身内存	128GB
运行内存	6GB
存储卡类型	支持
最大存储扩展	256GB
电池容量	4000mAh
无线充电	不支持
快充功能	不支持
电池更换	不支持
数据传输接口	蓝牙,WIFI
NFC（近场通讯）	不支持
耳机接口	3.5mm
充电接口类型	Type-C
蓝牙版本	蓝牙5.0
指纹识别	支持
GPS	支持
重力传感器	支持
光线传感器	以官网信息为准
距离传感器	以官网信息为准
陀螺仪	不支持
红外遥控	不支持
电子罗盘	不支持
3D加速	不支持
OTG	×&nbsp;&nbsp;&nbsp;&nbsp;OTG是On-The-Go的缩写，是近年发展起来的技术，主要应用于各种不同的设备或移动设备间的联接，进行数据交换。不支持
运营商标识	无
选购热点	女性手机,双卡双待,指纹识别,大容量电池,Type-C,拍照手机
开票单位	台
***
