https://product.suning.com/0070517287/11437406231.html
imgservice.suning.cn/uimg1/b2c/image/ww3TLo_-hdwtYinJ_b0KsA.png_800w_800h_4e
华为(HUAWEI) 华为畅享10 全网通 4GB+64GB 相思红 移动联通电信4G手机 4000mAh大电池 后置4800万AI双摄 全场景加速引擎
998.00
0
0
0
0
0
0
品牌	华为(HUAWEI)
型号	畅享10
上市时间	2019年9月
入网许可证号	02-5043-192230
手机操作系统	Android
摄像头类型	其他
前摄像头	1600万像素
后摄像头	4800+800+200万像素
拍照特点	美颜,连拍,防抖,自动对焦,场景模式,滤镜,微距,全景
前摄光圈大小	其他
后摄光圈大小	其他
闪光灯类型	支持
传感器类型	其他
屏幕尺寸	6.39英寸
屏幕分辨率	其他
屏幕材质	其他
屏幕像素密度（ppi）	以官网信息为准
触摸工艺	其他
颜色	红色系
机身长度	159.81毫米
机身宽度	76.13毫米
机身厚度	8.13毫米
重量	176克
机身材质	其它
CPU品牌	以官方信息为准
CPU型号	HUAWEIKirin710F（麒麟710F）
CPU频率	4*Cortex-A73Based2.2GHz+4*Cortex-A531.7GHz
CPU核数	八核
GPU	MaliG51-MP4
5G网络制式	不支持
双卡机类型	双卡双待
最大支持SIM卡数量	2个
SIM卡尺寸	NanoSIM卡
4G网络制式	电信4G,全网通,移动4G,联通4G
3G网络制式	联通3G,电信3G,移动3G
2G网络制式	移动2G/联通2G,电信2G
网络频率	以官网信息为准
待机模式	双卡双待
副SIM卡4G网络制式	电信4G,联通4G,移动4G
副SIM卡3G网络制式	联通3G,电信3G,移动3G
副SIM卡2G网络制式	移动2G/联通2G,电信2G
是否支持同时使用联通卡	以官网信息为准
机身内存	64GB
运行内存	4GB
存储卡类型	支持
最大存储扩展	512GB
电池容量	4000mAh
无线充电	不支持
电池更换	不支持
电池类型	其他
数据传输接口	WIFI,蓝牙
NFC（近场通讯）	不支持
耳机接口	以官网信息为准
蓝牙版本	蓝牙5.0
GPS	支持
重力传感器	支持
光线传感器	支持
距离传感器	以官网信息为准
陀螺仪	支持
电子罗盘	支持
OTG	支持
运营商标识	无
选购热点	国产手机,Type-C,全面屏手机,游戏手机,拍照手机,大容量电池,指纹识别,大屏手机,双卡双待,女性手机
开票单位	台
***
