https://product.suning.com/0070768200/11375676776.html
imgservice.suning.cn/uimg1/b2c/image/7AGt3LuETR9Z4CbhtzUfqw.png_800w_800h_4e
【原封正品】Apple /苹果iPhone 11 256G 红色 移动联通电信4G全网通手机/苹果11
6688.00
0
0
0
0
0
0
品牌	Apple
型号	iPhone11
上市时间	2019年9月
手机操作系统	IOS
系统版本	以官网信息为准
摄像头类型	前单+后单
前摄像头	1200万像素
后摄像头	1200万像素
拍照特点	全景,连拍,场景模式
前摄光圈大小	f/2.2光圈
后摄光圈大小	f/2.4光圈
闪光灯类型	支持
传感器类型	其他
屏幕尺寸	6.1英寸
屏幕分辨率	其他
屏幕材质	LCD
屏幕像素密度（ppi）	326
触摸工艺	其他
颜色	红色
机身长度	150.9毫米
机身宽度	75.7毫米
机身厚度	8.3毫米
重量	194克
机身材质	其它
CPU品牌	以官方信息为准
CPU型号	A13仿生
CPU频率	以官网信息为准
CPU核数	以官网信息为准
GPU	以官网信息为准
5G网络制式	不支持
双卡机类型	双卡双待
最大支持SIM卡数量	2个
SIM卡尺寸	NanoSIM卡
4G网络制式	电信4G,全网通,联通4G,移动4G
3G网络制式	移动3G,电信3G,联通3G
2G网络制式	移动2G,电信2G,移动2G/联通2G,联通2G
网络频率	以官网信息为准
待机模式	双卡双待
是否支持同时使用联通卡	以官网信息为准
机身内存	256GB
运行内存	以官网信息为准
存储卡类型	不支持
最大存储扩展	不支持
无线充电	支持
快充功能	支持
电池更换	不支持
电池类型	锂电池
数据传输接口	WIFI,蓝牙
NFC（近场通讯）	其它
耳机接口	以官网信息为准
充电接口类型	Lightning（iPhone）
指纹识别	不支持
GPS	支持
选购热点	游戏手机,老人手机,女性手机,面部识别,双卡双待,全面屏手机
开票单位	台
CCC认证编号	2017011606002271
生产者（制造商）名称	鸿富锦精密电子（郑州）有限公司
***
