https://product.suning.com/0070768200/11393278713.html
imgservice.suning.cn/uimg1/b2c/image/s1fslTsNOGTGq_TqodGUJg.png_800w_800h_4e
小米9 Pro 5G 12GB+512GB 钛银黑 双卡全网通 骁龙855Plus 30W无线闪充全面屏游戏拍照智能新品手机
4199.00
0
2
0
0
0
0
品牌	小米(mi)
型号	9Pro5G
上市时间	2019年9月
入网许可证号	02-B324-191424
手机操作系统	Android
系统版本	IUI
摄像头类型	其他
前摄像头	2000万像素
后摄像头	4800万像素
拍照特点	美颜,场景模式,连拍
前摄光圈大小	f/2.0光圈
后摄光圈大小	其他
闪光灯类型	支持
屏幕尺寸	6.39英寸
屏幕分辨率	2340*1080
屏幕材质	AMOLED
屏幕像素密度（ppi）	6.39
触摸工艺	其他
颜色	黑色
机身长度	157.21毫米
机身宽度	74.64毫米
机身厚度	8.54毫米
重量	196克
机身材质	其它
CPU品牌	骁龙（Snapdragon)
CPU型号	骁龙855plus
CPU频率	以官网数据为准
CPU核数	以官网信息为准
GPU	以官网数据为准
5G网络制式	全网通5G
双卡机类型	双卡双待
最大支持SIM卡数量	2个
SIM卡尺寸	NanoSIM卡
4G网络制式	电信4G,移动4G,全网通,联通4G
3G网络制式	移动3G,电信3G,联通3G
2G网络制式	移动2G,联通2G,电信2G,移动2G/联通2G
网络频率	以官网数据为准
待机模式	双卡双待
副SIM卡4G网络制式	移动4G,联通4G,电信4G
副SIM卡3G网络制式	移动3G,联通3G,电信3G
副SIM卡2G网络制式	电信2G,移动2G/联通2G,联通2G,移动2G
是否支持同时使用联通卡	以官网数据为准
机身内存	512GB
运行内存	12GB
存储卡类型	不支持
最大存储扩展	不支持
电池容量	4000mAh
无线充电	支持
快充功能	支持
电池更换	不支持
电池类型	其他
数据传输接口	NFC,蓝牙,WIFI
NFC（近场通讯）	支持（点对点模式）；支持（读卡器模式）；支持（卡模式）
耳机接口	Type-C
充电接口类型	Type-C
蓝牙版本	蓝牙5.0
指纹识别	支持
GPS	支持
重力传感器	支持
红外遥控	支持
选购热点	双卡双待,拍照手机,大屏手机,支持NFC,游戏手机,全面屏手机,国产手机,面部识别,快速充电,女性手机,大容量电池,骁龙芯片,指纹识别,Type-C
开票单位	台
CCC认证编号	2019011606214000
生产者（制造商）名称	小米通讯技术有限公司
***
手机收到用了几天，运行速度还不错，拍照功能也挺好，其他智能功能也不少。还有许多功能目前还学会玩，以后慢慢探索。这个手机买了内存最大的，打算用个五六年，希望可以撑到那一天，不要一两年又卡了。

此用户没有填写评价内容

