https://product.suning.com/0070768200/11375527155.html
imgservice.suning.cn/uimg1/b2c/image/rblHCD2Ycxni9zA02XvBjg.jpg_800w_800h_4e
苹果Apple iPhone 11 (A2223) 128GB 黑色 全网通4G 移动联通电信4G手机 双卡双待/苹果11
5769.00
0
0
0
0
0
0
品牌	Apple
型号	iPhone11
上市时间	2019年9月
手机操作系统	IOS
系统版本	以官网信息为准
摄像头类型	前单+后单
前摄像头	1200万像素
后摄像头	1200万像素
拍照特点	全景,连拍,场景模式
前摄光圈大小	f/2.2光圈
后摄光圈大小	f/2.4光圈
闪光灯类型	支持
传感器类型	其他
屏幕尺寸	6.1英寸
屏幕分辨率	其他
屏幕材质	LCD
屏幕像素密度（ppi）	326
触摸工艺	其他
颜色	黑色
机身长度	150.9毫米
机身宽度	75.7毫米
机身厚度	8.3毫米
重量	194克
CPU品牌	以官方信息为准
CPU型号	A13仿生
CPU频率	以官网信息为准
CPU核数	以官网信息为准
GPU	以官网信息为准
5G网络制式	不支持
双卡机类型	双卡双待
最大支持SIM卡数量	2个
SIM卡尺寸	NanoSIM卡
4G网络制式	移动4G,全网通,电信4G,联通4G
3G网络制式	联通3G,电信3G,移动3G
2G网络制式	移动2G,联通2G,移动2G/联通2G,电信2G
网络频率	以官网信息为准
待机模式	双卡双待
是否支持同时使用联通卡	以官网信息为准
机身内存	128GB
运行内存	以官网信息为准
存储卡类型	不支持
最大存储扩展	不支持
无线充电	支持
快充功能	支持
电池更换	不支持
电池类型	锂电池
数据传输接口	蓝牙,WIFI
NFC（近场通讯）	其它
耳机接口	以官网信息为准
充电接口类型	Lightning（iPhone）
指纹识别	不支持
GPS	支持
开票单位	台
CCC认证编号	2017011606002271
生产者（制造商）名称	鸿富锦精密电子（郑州）有限公司
***
