https://product.suning.com/0070768200/11375936342.html
imgservice.suning.cn/uimg1/b2c/image/CoQ__OK4I6VmIG6sT-BgFg.jpg_800w_800h_4e
【原封正品】Apple /苹果iPhone 11 Pro (A2217) 256GB 深空灰色 全网通4G 移动联通电信4G手机 双卡双待/苹果11pro
9299.00
0
0
0
0
0
0
品牌	Apple
型号	iPhone11Pro256G
上市时间	2019年9月
手机操作系统	IOS
系统版本	iOS13
摄像头类型	其他
前摄像头	1200万像素
后摄像头	1200万像素
拍照特点	全景,HDR
前摄光圈大小	f/2.2光圈
后摄光圈大小	f/2.4光圈
闪光灯类型	支持
传感器类型	其他
屏幕尺寸	5.8英寸
屏幕分辨率	2436X1125
屏幕材质	OLED
屏幕像素密度（ppi）	458
触摸工艺	其他
颜色	深空灰
机身长度	144毫米
机身宽度	71.4毫米
机身厚度	8.1毫米
重量	188克
机身材质	其它
CPU品牌	以官方信息为准
CPU型号	A13仿生
CPU频率	官网信息为准
CPU核数	以官网信息为准
GPU	官网信息为准
5G网络制式	不支持
双卡机类型	双卡双待单通
最大支持SIM卡数量	2个
SIM卡尺寸	NanoSIM卡
4G网络制式	移动4G,电信4G,联通4G,全网通
3G网络制式	联通3G,电信3G,移动3G
2G网络制式	联通2G,移动2G,电信2G
网络频率	以官方信息为准
待机模式	双卡双待
副SIM卡尺寸	NanoSIM卡
副SIM卡4G网络制式	电信4G,联通4G,移动4G
副SIM卡3G网络制式	联通3G,电信3G,移动3G
副SIM卡2G网络制式	移动2G,电信2G,移动2G/联通2G,联通2G
是否支持同时使用联通卡	以官方信息为准
机身内存	256GB
运行内存	以官网信息为准
存储卡类型	不支持
最大存储扩展	不支持
无线充电	支持
快充功能	支持
电池更换	不支持
电池类型	其他
数据传输接口	WIFI,蓝牙
NFC（近场通讯）	官网信息为准
耳机接口	以官网信息为准
充电接口类型	Lightning（iPhone）
指纹识别	不支持
GPS	支持
光线传感器	以官网信息为准
距离传感器	支持
陀螺仪	支持
红外遥控	不支持
OTG	不支持
运营商标识	无
选购热点	拍照手机,玻璃机身,全面屏手机,面部识别
***
