https://product.suning.com/0070831323/11110328540.html
imgservice.suning.cn/uimg1/b2c/image/-Ub-fOyfJ6vCY_lPGL_jLg.jpg_800w_800h_4e
【送无线座充+蓝牙耳机】三星 Galaxy S10 （SM-G9730)骁龙855游戏手机 屏下指纹 琉璃绿 全网通（8G+128G）
4799.00
1
2
0
0
0
0
品牌	三星(SAMSUNG)
型号	S10
上市时间	2019年2月
入网许可证号	02-8147-190062
手机操作系统	Android
系统版本	以官网信息为准
摄像头类型	其他
前摄像头	官网参数为准万像素
后摄像头	1600万像素
前摄光圈大小	其他
后摄光圈大小	其他
闪光灯类型	其他
传感器类型	其他
屏幕尺寸	6.1英寸
屏幕分辨率	其他
屏幕材质	其他
颜色	绿色
机身长度	149.9毫米
机身宽度	70.4毫米
机身厚度	7.8毫米
重量	157克
CPU品牌	骁龙（Snapdragon)
CPU型号	SM8150
CPU频率	官网参数为准
5G网络制式	不支持
双卡机类型	双卡双待
最大支持SIM卡数量	2个
SIM卡尺寸	NanoSIM卡
4G网络制式	全网通
3G网络制式	联通3G,不支持,电信3G,移动3G
2G网络制式	电信2G,联通2G,移动2G,移动2G/联通2G
副SIM卡4G网络制式	联通4G,移动4G,电信4G
副SIM卡3G网络制式	联通3G,电信3G,移动3G
副SIM卡2G网络制式	电信2G
机身内存	128GB
运行内存	8GB
电池容量	3400mAh
无线充电	不支持
快充功能	支持
电池更换	不支持
数据传输接口	无
耳机接口	3.5mm
充电接口类型	Type-C
蓝牙版本	以官网信息为准
指纹识别	支持
GPS	支持
重力传感器	支持
光线传感器	以官网信息为准
距离传感器	以官网信息为准
陀螺仪	支持
红外遥控	不支持
电子罗盘	不支持
3D加速	不支持
OTG	不支持
运营商标识	有
选购热点	游戏手机,大容量电池,Type-C,拍照手机,双卡双待,指纹识别,骁龙芯片,超薄机身
开票单位	台
CCC认证编号	2019011606148684
生产者（制造商）名称	惠州三星电子有限公司
***
原装正品，店铺服务好，手机更是没的说，感谢三星过硬的质量和体贴，感谢店铺的服务!绝对满分!必须推荐此商家!

买家没有填写评价内容！

