https://product.suning.com/0070857172/11403678360.html
imgservice.suning.cn/uimg1/b2c/image/HeVT3eVWKeckarXwxFPaKw.png_800w_800h_4e
华为/荣耀(honor) 荣耀9X Pro 全网通版 8GB+256GB 冰岛白 移动联通电信4G全面屏手机 双卡双待 荣耀9xpro
1948.00
0
2
0
0
0
0
品牌	荣耀(honor)
型号	9XPro
上市时间	2019年9月
入网许可证号	02-5043-183915
手机操作系统	Android
系统版本	Android9
摄像头类型	其他
前摄像头	1600万像素
后摄像头	4800+800+200万像素
拍照特点	全景,微距,滤镜,场景模式,连拍,自动对焦,防抖,美颜
前摄光圈大小	其他
后摄光圈大小	其他
闪光灯类型	支持
传感器类型	其他
屏幕尺寸	6.59英寸
屏幕分辨率	2340*1080
屏幕像素密度（ppi）	391
触摸工艺	其他
颜色	白色
机身长度	163.1毫米
机身宽度	77.2毫米
机身厚度	8.8毫米
重量	206克
机身材质	其它
CPU品牌	海思（Hisilicon）
CPU型号	HisiliconKirin810
CPU频率	2×CortexA762.27GHz+6×CortexA551.88GHz
CPU核数	八核
GPU	MaliG52
5G网络制式	不支持
双卡机类型	双卡双待
最大支持SIM卡数量	2个
SIM卡尺寸	NanoSIM卡
4G网络制式	全网通,电信4G,联通4G,移动4G
3G网络制式	联通3G,电信3G,移动3G
2G网络制式	电信2G,移动2G/联通2G
网络频率	以官网信息为准
待机模式	双卡双待
副SIM卡尺寸	NanoSIM卡
是否支持同时使用联通卡	以官网信息为准
机身内存	256GB
运行内存	8GB
存储卡类型	支持
最大存储扩展	512GB
电池容量	4000mAh
无线充电	不支持
快充功能	不支持
电池更换	不支持
电池类型	其他
数据传输接口	WIFI,蓝牙
NFC（近场通讯）	不支持
耳机接口	3.5mm
充电接口类型	Type-C
蓝牙版本	蓝牙5.0
指纹识别	支持
GPS	支持
重力传感器	支持
光线传感器	以官网信息为准
距离传感器	以官网信息为准
陀螺仪	支持
运营商标识	无
选购热点	双卡双待,国产手机,拍照手机,大屏手机,指纹识别,大容量电池,Type-C,游戏手机,全面屏手机
开票单位	台
CCC认证编号	2018011606112642
生产者（制造商）名称	华为技术有限公司
***
手机收到用了好几天才来评价的，屏幕大，真正的全面屏，电池容量大4000毫安差不多用两天，相机功能超棒，拍照色彩鲜艳清晰，而且8+128G的闪存及存储还能存储扩展，无需担心内存不够用，麒麟810处理器与去年旗舰麒麟970处理器相当GPU方面甚至更胜一筹，双十一降价200买的很值得购买！

此用户没有填写评价内容

